"GO_term"	"GO_offspring"	"Gene"
"1"	"GO:0015935"	"GO:0015935"	"MGL_1553"
"2"	"GO:0015935"	"GO:0015935"	"MGL_1554"
"3"	"GO:0015935"	"GO:0015935"	"MGL_2567"
"4"	"GO:0015935"	"GO:0015935"	"MGL_3409"
"5"	"GO:0006414"	"GO:0006414"	"MGL_0087"
"6"	"GO:0006414"	"GO:0006414"	"MGL_0122"
"7"	"GO:0006414"	"GO:0006414"	"MGL_3306"
"8"	"GO:0009058"	"GO:0009058"	"MGL_0211"
"9"	"GO:0009058"	"GO:0009058"	"MGL_0538"
"10"	"GO:0009058"	"GO:0009058"	"MGL_0588"
"11"	"GO:0009058"	"GO:0009058"	"MGL_0894"
"12"	"GO:0009058"	"GO:0009058"	"MGL_0956"
"13"	"GO:0009058"	"GO:0009058"	"MGL_1349"
"14"	"GO:0009058"	"GO:0009058"	"MGL_1404"
"15"	"GO:0009058"	"GO:0009058"	"MGL_1619"
"16"	"GO:0009058"	"GO:0009058"	"MGL_1712"
"17"	"GO:0009058"	"GO:0009058"	"MGL_2020"
"18"	"GO:0009058"	"GO:0009058"	"MGL_2023"
"19"	"GO:0009058"	"GO:0009058"	"MGL_2363"
"20"	"GO:0009058"	"GO:0009058"	"MGL_2366"
"21"	"GO:0009058"	"GO:0009058"	"MGL_2410"
"22"	"GO:0009058"	"GO:0009058"	"MGL_2496"
"23"	"GO:0009058"	"GO:0009058"	"MGL_2516"
"24"	"GO:0009058"	"GO:0009058"	"MGL_2947"
"25"	"GO:0009058"	"GO:0009058"	"MGL_2969"
"26"	"GO:0009058"	"GO:0009058"	"MGL_3045"
"27"	"GO:0009058"	"GO:0009058"	"MGL_3154"
"28"	"GO:0009058"	"GO:0009058"	"MGL_3299"
"29"	"GO:0009058"	"GO:0009058"	"MGL_4121"
"30"	"GO:0009058"	"GO:0009058"	"MGL_4145"
"31"	"GO:0009058"	"GO:0000162"	"MGL_0538"
"32"	"GO:0009058"	"GO:0006366"	"MGL_2782"
"33"	"GO:0009058"	"GO:0006164"	"MGL_2020"
"34"	"GO:0009058"	"GO:0006352"	"MGL_1283"
"35"	"GO:0009058"	"GO:0006352"	"MGL_1510"
"36"	"GO:0009058"	"GO:0006352"	"MGL_3245"
"37"	"GO:0009058"	"GO:0006355"	"MGL_0326"
"38"	"GO:0009058"	"GO:0006355"	"MGL_0448"
"39"	"GO:0009058"	"GO:0006355"	"MGL_3245"
"40"	"GO:0009058"	"GO:0006355"	"MGL_3744"
"41"	"GO:0009058"	"GO:0006412"	"MGL_0072"
"42"	"GO:0009058"	"GO:0006412"	"MGL_0087"
"43"	"GO:0009058"	"GO:0006412"	"MGL_0122"
"44"	"GO:0009058"	"GO:0006412"	"MGL_0502"
"45"	"GO:0009058"	"GO:0006412"	"MGL_0971"
"46"	"GO:0009058"	"GO:0006412"	"MGL_1116"
"47"	"GO:0009058"	"GO:0006412"	"MGL_1202"
"48"	"GO:0009058"	"GO:0006412"	"MGL_1287"
"49"	"GO:0009058"	"GO:0006412"	"MGL_1428"
"50"	"GO:0009058"	"GO:0006412"	"MGL_1553"
"51"	"GO:0009058"	"GO:0006412"	"MGL_1554"
"52"	"GO:0009058"	"GO:0006412"	"MGL_1647"
"53"	"GO:0009058"	"GO:0006412"	"MGL_1939"
"54"	"GO:0009058"	"GO:0006412"	"MGL_2060"
"55"	"GO:0009058"	"GO:0006412"	"MGL_2192"
"56"	"GO:0009058"	"GO:0006412"	"MGL_2282"
"57"	"GO:0009058"	"GO:0006412"	"MGL_2516"
"58"	"GO:0009058"	"GO:0006412"	"MGL_2567"
"59"	"GO:0009058"	"GO:0006412"	"MGL_2572"
"60"	"GO:0009058"	"GO:0006412"	"MGL_2608"
"61"	"GO:0009058"	"GO:0006412"	"MGL_3048"
"62"	"GO:0009058"	"GO:0006412"	"MGL_3168"
"63"	"GO:0009058"	"GO:0006412"	"MGL_3169"
"64"	"GO:0009058"	"GO:0006412"	"MGL_3288"
"65"	"GO:0009058"	"GO:0006412"	"MGL_3306"
"66"	"GO:0009058"	"GO:0006412"	"MGL_3402"
"67"	"GO:0009058"	"GO:0006412"	"MGL_3409"
"68"	"GO:0009058"	"GO:0006412"	"MGL_3414"
"69"	"GO:0009058"	"GO:0006412"	"MGL_3501"
"70"	"GO:0009058"	"GO:0006412"	"MGL_3575"
"71"	"GO:0009058"	"GO:0006412"	"MGL_4038"
"72"	"GO:0009058"	"GO:0006413"	"MGL_2192"
"73"	"GO:0009058"	"GO:0006413"	"MGL_3414"
"74"	"GO:0009058"	"GO:0006414"	"MGL_0087"
"75"	"GO:0009058"	"GO:0006414"	"MGL_0122"
"76"	"GO:0009058"	"GO:0006414"	"MGL_3306"
"77"	"GO:0009058"	"GO:0006418"	"MGL_0502"
"78"	"GO:0009058"	"GO:0006418"	"MGL_1647"
"79"	"GO:0009058"	"GO:0006418"	"MGL_2516"
"80"	"GO:0009058"	"GO:0006418"	"MGL_3288"
"81"	"GO:0009058"	"GO:0006424"	"MGL_1647"
"82"	"GO:0009058"	"GO:0006425"	"MGL_1647"
"83"	"GO:0009058"	"GO:0006435"	"MGL_3288"
"84"	"GO:0009058"	"GO:0006438"	"MGL_2516"
"85"	"GO:0009058"	"GO:0006571"	"MGL_4145"
"86"	"GO:0009058"	"GO:0009082"	"MGL_3299"
"87"	"GO:0009058"	"GO:0009152"	"MGL_2366"
"88"	"GO:0009058"	"GO:0009231"	"MGL_4121"
"89"	"GO:0009058"	"GO:0016226"	"MGL_2496"
"90"	"GO:0003735"	"GO:0003735"	"MGL_0072"
