"GO_term"	"GO_offspring"	"Gene"
"1"	"GO:0003735"	"GO:0003735"	"MGL_0387"
"2"	"GO:0003735"	"GO:0003735"	"MGL_0453"
"3"	"GO:0003735"	"GO:0003735"	"MGL_1083"
"4"	"GO:0003735"	"GO:0003735"	"MGL_1202"
"5"	"GO:0003735"	"GO:0003735"	"MGL_1287"
"6"	"GO:0003735"	"GO:0003735"	"MGL_1553"
"7"	"GO:0003735"	"GO:0003735"	"MGL_1741"
"8"	"GO:0003735"	"GO:0003735"	"MGL_2282"
"9"	"GO:0003735"	"GO:0003735"	"MGL_2567"
"10"	"GO:0003735"	"GO:0003735"	"MGL_2944"
"11"	"GO:0003735"	"GO:0003735"	"MGL_3048"
"12"	"GO:0003735"	"GO:0003735"	"MGL_3169"
"13"	"GO:0003735"	"GO:0003735"	"MGL_3501"
"14"	"GO:0003735"	"GO:0003735"	"MGL_3830"
"15"	"GO:0003735"	"GO:0003735"	"MGL_4038"
"16"	"GO:0006412"	"GO:0006412"	"MGL_0122"
"17"	"GO:0006412"	"GO:0006412"	"MGL_0387"
"18"	"GO:0006412"	"GO:0006412"	"MGL_0453"
"19"	"GO:0006412"	"GO:0006412"	"MGL_1083"
"20"	"GO:0006412"	"GO:0006412"	"MGL_1202"
"21"	"GO:0006412"	"GO:0006412"	"MGL_1287"
"22"	"GO:0006412"	"GO:0006412"	"MGL_1422"
"23"	"GO:0006412"	"GO:0006412"	"MGL_1553"
"24"	"GO:0006412"	"GO:0006412"	"MGL_1647"
"25"	"GO:0006412"	"GO:0006412"	"MGL_1674"
"26"	"GO:0006412"	"GO:0006412"	"MGL_1741"
"27"	"GO:0006412"	"GO:0006412"	"MGL_1945"
"28"	"GO:0006412"	"GO:0006412"	"MGL_2192"
"29"	"GO:0006412"	"GO:0006412"	"MGL_2282"
"30"	"GO:0006412"	"GO:0006412"	"MGL_2567"
"31"	"GO:0006412"	"GO:0006412"	"MGL_2944"
"32"	"GO:0006412"	"GO:0006412"	"MGL_3048"
"33"	"GO:0006412"	"GO:0006412"	"MGL_3169"
"34"	"GO:0006412"	"GO:0006412"	"MGL_3246"
"35"	"GO:0006412"	"GO:0006412"	"MGL_3306"
"36"	"GO:0006412"	"GO:0006412"	"MGL_3314"
"37"	"GO:0006412"	"GO:0006412"	"MGL_3353"
"38"	"GO:0006412"	"GO:0006412"	"MGL_3402"
"39"	"GO:0006412"	"GO:0006412"	"MGL_3501"
"40"	"GO:0006412"	"GO:0006412"	"MGL_3830"
"41"	"GO:0006412"	"GO:0006412"	"MGL_4038"
"42"	"GO:0006412"	"GO:0006413"	"MGL_1674"
"43"	"GO:0006412"	"GO:0006413"	"MGL_2192"
"44"	"GO:0006412"	"GO:0006414"	"MGL_0122"
"45"	"GO:0006412"	"GO:0006414"	"MGL_3306"
"46"	"GO:0006412"	"GO:0006418"	"MGL_1647"
"47"	"GO:0006412"	"GO:0006418"	"MGL_3246"
"48"	"GO:0006412"	"GO:0006418"	"MGL_3314"
"49"	"GO:0006412"	"GO:0006418"	"MGL_3353"
"50"	"GO:0006412"	"GO:0006421"	"MGL_3246"
"51"	"GO:0006412"	"GO:0006422"	"MGL_3246"
"52"	"GO:0006412"	"GO:0006424"	"MGL_1647"
"53"	"GO:0006412"	"GO:0006424"	"MGL_3314"
"54"	"GO:0006412"	"GO:0006425"	"MGL_1647"
"55"	"GO:0006412"	"GO:0006434"	"MGL_3353"
"56"	"GO:0006414"	"GO:0006414"	"MGL_0122"
"57"	"GO:0006414"	"GO:0006414"	"MGL_3306"
"58"	"GO:0005840"	"GO:0005840"	"MGL_0122"
"59"	"GO:0005840"	"GO:0005840"	"MGL_0387"
"60"	"GO:0005840"	"GO:0005840"	"MGL_0453"
"61"	"GO:0005840"	"GO:0005840"	"MGL_0597"
"62"	"GO:0005840"	"GO:0005840"	"MGL_1083"
"63"	"GO:0005840"	"GO:0005840"	"MGL_1202"
"64"	"GO:0005840"	"GO:0005840"	"MGL_1287"
"65"	"GO:0005840"	"GO:0005840"	"MGL_1553"
"66"	"GO:0005840"	"GO:0005840"	"MGL_1674"
"67"	"GO:0005840"	"GO:0005840"	"MGL_1741"
"68"	"GO:0005840"	"GO:0005840"	"MGL_1945"
"69"	"GO:0005840"	"GO:0005840"	"MGL_2192"
"70"	"GO:0005840"	"GO:0005840"	"MGL_2282"
"71"	"GO:0005840"	"GO:0005840"	"MGL_2567"
"72"	"GO:0005840"	"GO:0005840"	"MGL_2944"
"73"	"GO:0005840"	"GO:0005840"	"MGL_3048"
"74"	"GO:0005840"	"GO:0005840"	"MGL_3169"
"75"	"GO:0005840"	"GO:0005840"	"MGL_3306"
"76"	"GO:0005840"	"GO:0005840"	"MGL_3402"
"77"	"GO:0005840"	"GO:0005840"	"MGL_3501"
"78"	"GO:0005840"	"GO:0005840"	"MGL_3830"
"79"	"GO:0005840"	"GO:0005840"	"MGL_4038"
"80"	"GO:0005840"	"GO:0015934"	"MGL_0387"
"81"	"GO:0005840"	"GO:0015935"	"MGL_1553"
"82"	"GO:0005840"	"GO:0015935"	"MGL_2567"
"83"	"GO:0005840"	"GO:0015935"	"MGL_2944"
"84"	"GO:0032787"	"GO:0006090"	"MGL_0893"
"85"	"GO:0032787"	"GO:0006097"	"MGL_1342"
"86"	"GO:0032787"	"GO:0006631"	"MGL_2947"
"87"	"GO:0044445"	"GO:0000015"	"MGL_1349"
"88"	"GO:0044445"	"GO:0016465"	"MGL_1502"
"89"	"GO:0005739"	"GO:0005739"	"MGL_0122"
"90"	"GO:0005739"	"GO:0005739"	"MGL_0387"
"91"	"GO:0005739"	"GO:0005739"	"MGL_0395"
"92"	"GO:0005739"	"GO:0005739"	"MGL_0598"
"93"	"GO:0005739"	"GO:0005739"	"MGL_1005"
"94"	"GO:0005739"	"GO:0005739"	"MGL_1158"
"95"	"GO:0005739"	"GO:0005739"	"MGL_1485"
"96"	"GO:0005739"	"GO:0005739"	"MGL_1776"
"97"	"GO:0005739"	"GO:0005739"	"MGL_2751"
"98"	"GO:0005739"	"GO:0005739"	"MGL_2834"
"99"	"GO:0005739"	"GO:0005739"	"MGL_3117"
"100"	"GO:0005739"	"GO:0005739"	"MGL_3154"
"101"	"GO:0005739"	"GO:0005739"	"MGL_3651"
"102"	"GO:0005739"	"GO:0005739"	"MGL_3727"
"103"	"GO:0005739"	"GO:0005739"	"MGL_3987"
"104"	"GO:0005739"	"GO:0005741"	"MGL_2751"
"105"	"GO:0005739"	"GO:0005743"	"MGL_3651"
"106"	"GO:0005739"	"GO:0042719"	"MGL_0598"
"107"	"GO:0005739"	"GO:0042719"	"MGL_1485"
"108"	"GO:0005758"	"GO:0042719"	"MGL_0598"
"109"	"GO:0005758"	"GO:0042719"	"MGL_1485"
"110"	"GO:0044262"	"GO:0006071"	"MGL_1416"
"111"	"GO:0044262"	"GO:0006072"	"MGL_3120"
"112"	"GO:0044262"	"GO:0006096"	"MGL_1349"
"113"	"GO:0044262"	"GO:0006097"	"MGL_1342"
"114"	"GO:0044262"	"GO:0006486"	"MGL_0777"
"115"	"GO:0005524"	"GO:0005524"	"MGL_0326"
"116"	"GO:0005524"	"GO:0005524"	"MGL_0468"
"117"	"GO:0005524"	"GO:0005524"	"MGL_1502"
"118"	"GO:0005524"	"GO:0005524"	"MGL_1619"
"119"	"GO:0005524"	"GO:0005524"	"MGL_1647"
"120"	"GO:0005524"	"GO:0005524"	"MGL_1854"
"121"	"GO:0005524"	"GO:0005524"	"MGL_2038"
"122"	"GO:0005524"	"GO:0005524"	"MGL_2258"
"123"	"GO:0005524"	"GO:0005524"	"MGL_2556"
"124"	"GO:0005524"	"GO:0005524"	"MGL_2577"
"125"	"GO:0005524"	"GO:0005524"	"MGL_2846"
"126"	"GO:0005524"	"GO:0005524"	"MGL_3045"
"127"	"GO:0005524"	"GO:0005524"	"MGL_3060"
"128"	"GO:0005524"	"GO:0005524"	"MGL_3246"
"129"	"GO:0005524"	"GO:0005524"	"MGL_3314"
"130"	"GO:0005524"	"GO:0005524"	"MGL_3353"
"131"	"GO:0005524"	"GO:0005524"	"MGL_3362"
"132"	"GO:0005524"	"GO:0005524"	"MGL_3390"
"133"	"GO:0005524"	"GO:0005524"	"MGL_3519"
"134"	"GO:0005524"	"GO:0005524"	"MGL_3762"
"135"	"GO:0005524"	"GO:0005524"	"MGL_3787"
"136"	"GO:0005524"	"GO:0005524"	"MGL_4129"
"137"	"GO:0003924"	"GO:0003924"	"MGL_0326"
"138"	"GO:0003924"	"GO:0003924"	"MGL_0548"
"139"	"GO:0003924"	"GO:0003924"	"MGL_1422"
"140"	"GO:0003924"	"GO:0003924"	"MGL_3306"
"141"	"GO:0003924"	"GO:0003924"	"MGL_3402"
"142"	"GO:0009056"	"GO:0009056"	"MGL_0234"
"143"	"GO:0009056"	"GO:0009056"	"MGL_0395"
"144"	"GO:0009056"	"GO:0009056"	"MGL_0468"
"145"	"GO:0009056"	"GO:0009056"	"MGL_0785"
"146"	"GO:0009056"	"GO:0009056"	"MGL_0798"
"147"	"GO:0009056"	"GO:0009056"	"MGL_0893"
"148"	"GO:0009056"	"GO:0009056"	"MGL_0965"
"149"	"GO:0009056"	"GO:0009056"	"MGL_1136"
"150"	"GO:0009056"	"GO:0009056"	"MGL_1342"
"151"	"GO:0009056"	"GO:0009056"	"MGL_1349"
"152"	"GO:0009056"	"GO:0009056"	"MGL_1416"
"153"	"GO:0009056"	"GO:0009056"	"MGL_1721"
"154"	"GO:0009056"	"GO:0009056"	"MGL_1776"
"155"	"GO:0009056"	"GO:0009056"	"MGL_2947"
"156"	"GO:0009056"	"GO:0009056"	"MGL_3154"
"157"	"GO:0009056"	"GO:0009056"	"MGL_3306"
"158"	"GO:0009056"	"GO:0009056"	"MGL_3329"
"159"	"GO:0009056"	"GO:0009056"	"MGL_3402"
"160"	"GO:0009056"	"GO:0009056"	"MGL_3418"
"161"	"GO:0009056"	"GO:0009056"	"MGL_3705"
"162"	"GO:0009056"	"GO:0009056"	"MGL_3752"
"163"	"GO:0009056"	"GO:0009056"	"MGL_4051"
"164"	"GO:0009056"	"GO:0006096"	"MGL_1349"
"165"	"GO:0009056"	"GO:0006511"	"MGL_3705"
"166"	"GO:0009056"	"GO:0016598"	"MGL_0785"
"167"	"GO:0009056"	"GO:0030163"	"MGL_0468"
"168"	"GO:0009056"	"GO:0042176"	"MGL_0785"
"169"	"GO:0004579"	"GO:0004579"	"MGL_0777"
"170"	"GO:0006091"	"GO:0006091"	"MGL_0128"
"171"	"GO:0006091"	"GO:0006091"	"MGL_0395"
"172"	"GO:0006091"	"GO:0006091"	"MGL_0893"
"173"	"GO:0006091"	"GO:0006091"	"MGL_0965"
"174"	"GO:0006091"	"GO:0006091"	"MGL_1005"
"175"	"GO:0006091"	"GO:0006091"	"MGL_1342"
"176"	"GO:0006091"	"GO:0006091"	"MGL_1349"
"177"	"GO:0006091"	"GO:0006091"	"MGL_1776"
"178"	"GO:0006091"	"GO:0006091"	"MGL_2834"
"179"	"GO:0006091"	"GO:0006091"	"MGL_3154"
"180"	"GO:0006091"	"GO:0006091"	"MGL_3418"
"181"	"GO:0006091"	"GO:0006096"	"MGL_1349"
"182"	"GO:0044444"	"GO:0000015"	"MGL_1349"
"183"	"GO:0044444"	"GO:0005739"	"MGL_0122"
"184"	"GO:0044444"	"GO:0005739"	"MGL_0387"
"185"	"GO:0044444"	"GO:0005739"	"MGL_0395"
"186"	"GO:0044444"	"GO:0005739"	"MGL_0598"
"187"	"GO:0044444"	"GO:0005739"	"MGL_1005"
"188"	"GO:0044444"	"GO:0005739"	"MGL_1158"
"189"	"GO:0044444"	"GO:0005739"	"MGL_1485"
"190"	"GO:0044444"	"GO:0005739"	"MGL_1776"
"191"	"GO:0044444"	"GO:0005739"	"MGL_2751"
"192"	"GO:0044444"	"GO:0005739"	"MGL_2834"
"193"	"GO:0044444"	"GO:0005739"	"MGL_3117"
"194"	"GO:0044444"	"GO:0005739"	"MGL_3154"
"195"	"GO:0044444"	"GO:0005739"	"MGL_3651"
"196"	"GO:0044444"	"GO:0005739"	"MGL_3727"
"197"	"GO:0044444"	"GO:0005739"	"MGL_3987"
"198"	"GO:0044444"	"GO:0005829"	"MGL_0965"
"199"	"GO:0044444"	"GO:0005829"	"MGL_1349"
"200"	"GO:0044444"	"GO:0005829"	"MGL_1776"
"201"	"GO:0044444"	"GO:0005829"	"MGL_3819"
"202"	"GO:0044444"	"GO:0005783"	"MGL_0638"
"203"	"GO:0044444"	"GO:0005783"	"MGL_0777"
"204"	"GO:0044444"	"GO:0005783"	"MGL_1712"
"205"	"GO:0044444"	"GO:0005783"	"MGL_3114"
"206"	"GO:0044444"	"GO:0005777"	"MGL_1342"
"207"	"GO:0044444"	"GO:0005777"	"MGL_3418"
"208"	"GO:0044444"	"GO:0005840"	"MGL_0122"
"209"	"GO:0044444"	"GO:0005840"	"MGL_0387"
"210"	"GO:0044444"	"GO:0005840"	"MGL_0453"
"211"	"GO:0044444"	"GO:0005840"	"MGL_0597"
"212"	"GO:0044444"	"GO:0005840"	"MGL_1083"
"213"	"GO:0044444"	"GO:0005840"	"MGL_1202"
"214"	"GO:0044444"	"GO:0005840"	"MGL_1287"
"215"	"GO:0044444"	"GO:0005840"	"MGL_1553"
"216"	"GO:0044444"	"GO:0005840"	"MGL_1674"
"217"	"GO:0044444"	"GO:0005840"	"MGL_1741"
"218"	"GO:0044444"	"GO:0005840"	"MGL_1945"
"219"	"GO:0044444"	"GO:0005840"	"MGL_2192"
"220"	"GO:0044444"	"GO:0005840"	"MGL_2282"
"221"	"GO:0044444"	"GO:0005840"	"MGL_2567"
"222"	"GO:0044444"	"GO:0005840"	"MGL_2944"
"223"	"GO:0044444"	"GO:0005840"	"MGL_3048"
"224"	"GO:0044444"	"GO:0005840"	"MGL_3169"
"225"	"GO:0044444"	"GO:0005840"	"MGL_3306"
"226"	"GO:0044444"	"GO:0005840"	"MGL_3402"
"227"	"GO:0044444"	"GO:0005840"	"MGL_3501"
"228"	"GO:0044444"	"GO:0005840"	"MGL_3830"
"229"	"GO:0044444"	"GO:0005840"	"MGL_4038"
"230"	"GO:0044444"	"GO:0005741"	"MGL_2751"
"231"	"GO:0044444"	"GO:0005743"	"MGL_3651"
"232"	"GO:0044444"	"GO:0005794"	"MGL_2948"
"233"	"GO:0044444"	"GO:0005794"	"MGL_3114"
"234"	"GO:0044444"	"GO:0005811"	"MGL_3154"
