"GO_term"	"GO_offspring"	"Gene"
"1"	"GO:0006412"	"GO:0006412"	"MGL_0083"
"2"	"GO:0006412"	"GO:0006412"	"MGL_0087"
"3"	"GO:0006412"	"GO:0006412"	"MGL_0107"
"4"	"GO:0006412"	"GO:0006412"	"MGL_0229"
"5"	"GO:0006412"	"GO:0006412"	"MGL_0281"
"6"	"GO:0006412"	"GO:0006412"	"MGL_0379"
"7"	"GO:0006412"	"GO:0006412"	"MGL_0387"
"8"	"GO:0006412"	"GO:0006412"	"MGL_0971"
"9"	"GO:0006412"	"GO:0006412"	"MGL_0995"
"10"	"GO:0006412"	"GO:0006412"	"MGL_1057"
"11"	"GO:0006412"	"GO:0006412"	"MGL_1116"
"12"	"GO:0006412"	"GO:0006412"	"MGL_1202"
"13"	"GO:0006412"	"GO:0006412"	"MGL_1264"
"14"	"GO:0006412"	"GO:0006412"	"MGL_1265"
"15"	"GO:0006412"	"GO:0006412"	"MGL_1287"
"16"	"GO:0006412"	"GO:0006412"	"MGL_1422"
"17"	"GO:0006412"	"GO:0006412"	"MGL_1428"
"18"	"GO:0006412"	"GO:0006412"	"MGL_1429"
"19"	"GO:0006412"	"GO:0006412"	"MGL_1433"
"20"	"GO:0006412"	"GO:0006412"	"MGL_1509"
"21"	"GO:0006412"	"GO:0006412"	"MGL_1553"
"22"	"GO:0006412"	"GO:0006412"	"MGL_1554"
"23"	"GO:0006412"	"GO:0006412"	"MGL_1647"
"24"	"GO:0006412"	"GO:0006412"	"MGL_1651"
"25"	"GO:0006412"	"GO:0006412"	"MGL_1741"
"26"	"GO:0006412"	"GO:0006412"	"MGL_2050"
"27"	"GO:0006412"	"GO:0006412"	"MGL_2192"
"28"	"GO:0006412"	"GO:0006412"	"MGL_2282"
"29"	"GO:0006412"	"GO:0006412"	"MGL_2492"
"30"	"GO:0006412"	"GO:0006412"	"MGL_2573"
"31"	"GO:0006412"	"GO:0006412"	"MGL_2648"
"32"	"GO:0006412"	"GO:0006412"	"MGL_2944"
"33"	"GO:0006412"	"GO:0006412"	"MGL_2960"
"34"	"GO:0006412"	"GO:0006412"	"MGL_3168"
"35"	"GO:0006412"	"GO:0006412"	"MGL_3306"
"36"	"GO:0006412"	"GO:0006412"	"MGL_3314"
"37"	"GO:0006412"	"GO:0006412"	"MGL_3348"
"38"	"GO:0006412"	"GO:0006412"	"MGL_3402"
"39"	"GO:0006412"	"GO:0006412"	"MGL_3412"
"40"	"GO:0006412"	"GO:0006412"	"MGL_3472"
"41"	"GO:0006412"	"GO:0006412"	"MGL_3557"
"42"	"GO:0006412"	"GO:0006412"	"MGL_3590"
"43"	"GO:0006412"	"GO:0006412"	"MGL_3745"
"44"	"GO:0006412"	"GO:0006412"	"MGL_3918"
"45"	"GO:0006412"	"GO:0006412"	"MGL_4117"
"46"	"GO:0006412"	"GO:0006413"	"MGL_2050"
"47"	"GO:0006412"	"GO:0006413"	"MGL_2192"
"48"	"GO:0006412"	"GO:0006413"	"MGL_2492"
"49"	"GO:0006412"	"GO:0006414"	"MGL_0087"
"50"	"GO:0006412"	"GO:0006414"	"MGL_0995"
"51"	"GO:0006412"	"GO:0006414"	"MGL_1264"
"52"	"GO:0006412"	"GO:0006414"	"MGL_1509"
"53"	"GO:0006412"	"GO:0006414"	"MGL_3306"
"54"	"GO:0006412"	"GO:0006414"	"MGL_3557"
"55"	"GO:0006412"	"GO:0006418"	"MGL_1647"
"56"	"GO:0006412"	"GO:0006418"	"MGL_3314"
"57"	"GO:0006412"	"GO:0006418"	"MGL_3918"
"58"	"GO:0006412"	"GO:0006424"	"MGL_1647"
"59"	"GO:0006412"	"GO:0006424"	"MGL_3314"
"60"	"GO:0006412"	"GO:0006425"	"MGL_1647"
"61"	"GO:0006412"	"GO:0006427"	"MGL_3918"
"62"	"GO:0006412"	"GO:0006446"	"MGL_2050"
"63"	"GO:0003735"	"GO:0003735"	"MGL_0229"
"64"	"GO:0003735"	"GO:0003735"	"MGL_0281"
"65"	"GO:0003735"	"GO:0003735"	"MGL_0379"
"66"	"GO:0003735"	"GO:0003735"	"MGL_0387"
"67"	"GO:0003735"	"GO:0003735"	"MGL_0971"
"68"	"GO:0003735"	"GO:0003735"	"MGL_1202"
"69"	"GO:0003735"	"GO:0003735"	"MGL_1265"
"70"	"GO:0003735"	"GO:0003735"	"MGL_1287"
"71"	"GO:0003735"	"GO:0003735"	"MGL_1428"
"72"	"GO:0003735"	"GO:0003735"	"MGL_1429"
"73"	"GO:0003735"	"GO:0003735"	"MGL_1553"
"74"	"GO:0003735"	"GO:0003735"	"MGL_1554"
"75"	"GO:0003735"	"GO:0003735"	"MGL_1651"
"76"	"GO:0003735"	"GO:0003735"	"MGL_1741"
"77"	"GO:0003735"	"GO:0003735"	"MGL_2282"
"78"	"GO:0003735"	"GO:0003735"	"MGL_2573"
"79"	"GO:0003735"	"GO:0003735"	"MGL_2648"
"80"	"GO:0003735"	"GO:0003735"	"MGL_2944"
"81"	"GO:0003735"	"GO:0003735"	"MGL_2960"
"82"	"GO:0003735"	"GO:0003735"	"MGL_3168"
"83"	"GO:0003735"	"GO:0003735"	"MGL_3348"
"84"	"GO:0003735"	"GO:0003735"	"MGL_3412"
"85"	"GO:0003735"	"GO:0003735"	"MGL_3472"
"86"	"GO:0003735"	"GO:0003735"	"MGL_3557"
"87"	"GO:0003735"	"GO:0003735"	"MGL_3590"
"88"	"GO:0003735"	"GO:0003735"	"MGL_3745"
"89"	"GO:0003735"	"GO:0003735"	"MGL_4117"
"90"	"GO:0005840"	"GO:0005840"	"MGL_0083"
"91"	"GO:0005840"	"GO:0005840"	"MGL_0087"
"92"	"GO:0005840"	"GO:0005840"	"MGL_0107"
"93"	"GO:0005840"	"GO:0005840"	"MGL_0229"
"94"	"GO:0005840"	"GO:0005840"	"MGL_0281"
"95"	"GO:0005840"	"GO:0005840"	"MGL_0379"
"96"	"GO:0005840"	"GO:0005840"	"MGL_0387"
"97"	"GO:0005840"	"GO:0005840"	"MGL_0971"
"98"	"GO:0005840"	"GO:0005840"	"MGL_0995"
"99"	"GO:0005840"	"GO:0005840"	"MGL_1057"
"100"	"GO:0005840"	"GO:0005840"	"MGL_1116"
"101"	"GO:0005840"	"GO:0005840"	"MGL_1202"
"102"	"GO:0005840"	"GO:0005840"	"MGL_1264"
"103"	"GO:0005840"	"GO:0005840"	"MGL_1265"
"104"	"GO:0005840"	"GO:0005840"	"MGL_1287"
"105"	"GO:0005840"	"GO:0005840"	"MGL_1428"
"106"	"GO:0005840"	"GO:0005840"	"MGL_1429"
"107"	"GO:0005840"	"GO:0005840"	"MGL_1509"
"108"	"GO:0005840"	"GO:0005840"	"MGL_1553"
"109"	"GO:0005840"	"GO:0005840"	"MGL_1554"
"110"	"GO:0005840"	"GO:0005840"	"MGL_1651"
"111"	"GO:0005840"	"GO:0005840"	"MGL_1741"
"112"	"GO:0005840"	"GO:0005840"	"MGL_2050"
"113"	"GO:0005840"	"GO:0005840"	"MGL_2192"
"114"	"GO:0005840"	"GO:0005840"	"MGL_2282"
"115"	"GO:0005840"	"GO:0005840"	"MGL_2492"
"116"	"GO:0005840"	"GO:0005840"	"MGL_2573"
"117"	"GO:0005840"	"GO:0005840"	"MGL_2648"
"118"	"GO:0005840"	"GO:0005840"	"MGL_2944"
"119"	"GO:0005840"	"GO:0005840"	"MGL_2960"
"120"	"GO:0005840"	"GO:0005840"	"MGL_3168"
"121"	"GO:0005840"	"GO:0005840"	"MGL_3306"
"122"	"GO:0005840"	"GO:0005840"	"MGL_3348"
"123"	"GO:0005840"	"GO:0005840"	"MGL_3402"
"124"	"GO:0005840"	"GO:0005840"	"MGL_3412"
"125"	"GO:0005840"	"GO:0005840"	"MGL_3472"
"126"	"GO:0005840"	"GO:0005840"	"MGL_3557"
"127"	"GO:0005840"	"GO:0005840"	"MGL_3590"
"128"	"GO:0005840"	"GO:0005840"	"MGL_3745"
"129"	"GO:0005840"	"GO:0005840"	"MGL_4117"
"130"	"GO:0005840"	"GO:0015934"	"MGL_0387"
"131"	"GO:0005840"	"GO:0015935"	"MGL_1265"
"132"	"GO:0005840"	"GO:0015935"	"MGL_1553"
"133"	"GO:0005840"	"GO:0015935"	"MGL_1554"
"134"	"GO:0005840"	"GO:0015935"	"MGL_2944"
"135"	"GO:0006091"	"GO:0006091"	"MGL_0092"
"136"	"GO:0006091"	"GO:0006091"	"MGL_0128"
"137"	"GO:0006091"	"GO:0006091"	"MGL_0211"
"138"	"GO:0006091"	"GO:0006091"	"MGL_0395"
"139"	"GO:0006091"	"GO:0006091"	"MGL_0473"
"140"	"GO:0006091"	"GO:0006091"	"MGL_0498"
"141"	"GO:0006091"	"GO:0006091"	"MGL_1613"
"142"	"GO:0006091"	"GO:0006091"	"MGL_2011"
"143"	"GO:0006091"	"GO:0006091"	"MGL_2211"
"144"	"GO:0006091"	"GO:0006091"	"MGL_2217"
"145"	"GO:0006091"	"GO:0006091"	"MGL_2703"
"146"	"GO:0006091"	"GO:0006091"	"MGL_3154"
"147"	"GO:0006091"	"GO:0006091"	"MGL_3419"
"148"	"GO:0006091"	"GO:0006091"	"MGL_3743"
"149"	"GO:0006091"	"GO:0006091"	"MGL_3904"
"150"	"GO:0006091"	"GO:0006091"	"MGL_4016"
"151"	"GO:0006091"	"GO:0006096"	"MGL_2217"
"152"	"GO:0006091"	"GO:0006096"	"MGL_2703"
"153"	"GO:0006091"	"GO:0006120"	"MGL_0211"
"154"	"GO:0006414"	"GO:0006414"	"MGL_0087"
"155"	"GO:0006414"	"GO:0006414"	"MGL_0995"
"156"	"GO:0006414"	"GO:0006414"	"MGL_1264"
"157"	"GO:0006414"	"GO:0006414"	"MGL_1509"
"158"	"GO:0006414"	"GO:0006414"	"MGL_3306"
"159"	"GO:0006414"	"GO:0006414"	"MGL_3557"
"160"	"GO:0003746"	"GO:0003746"	"MGL_0087"
"161"	"GO:0003746"	"GO:0003746"	"MGL_0995"
"162"	"GO:0003746"	"GO:0003746"	"MGL_1264"
