"GO_term"	"GO_offspring"	"Gene"
"1"	"GO:0005623"	"GO:0005623"	"MGL_0356"
"2"	"GO:0005623"	"GO:0005623"	"MGL_0548"
"3"	"GO:0005623"	"GO:0005623"	"MGL_2373"
"4"	"GO:0005623"	"GO:0005623"	"MGL_2780"
"5"	"GO:0005623"	"GO:0005623"	"MGL_2969"
"6"	"GO:0005623"	"GO:0005623"	"MGL_3743"
"7"	"GO:0005623"	"GO:0005622"	"MGL_0128"
"8"	"GO:0005623"	"GO:0005622"	"MGL_0266"
"9"	"GO:0005623"	"GO:0005622"	"MGL_0326"
"10"	"GO:0005623"	"GO:0005622"	"MGL_0379"
"11"	"GO:0005623"	"GO:0005622"	"MGL_0548"
"12"	"GO:0005623"	"GO:0005622"	"MGL_0788"
"13"	"GO:0005623"	"GO:0005622"	"MGL_0957"
"14"	"GO:0005623"	"GO:0005622"	"MGL_0971"
"15"	"GO:0005623"	"GO:0005622"	"MGL_1070"
"16"	"GO:0005623"	"GO:0005622"	"MGL_1287"
"17"	"GO:0005623"	"GO:0005622"	"MGL_1453"
"18"	"GO:0005623"	"GO:0005622"	"MGL_1741"
"19"	"GO:0005623"	"GO:0005622"	"MGL_2947"
"20"	"GO:0005623"	"GO:0005622"	"MGL_2952"
"21"	"GO:0005623"	"GO:0005622"	"MGL_3347"
"22"	"GO:0005623"	"GO:0005622"	"MGL_3411"
"23"	"GO:0005623"	"GO:0005622"	"MGL_3654"
"24"	"GO:0005623"	"GO:0005622"	"MGL_3705"
"25"	"GO:0005623"	"GO:0005622"	"MGL_3746"
"26"	"GO:0005623"	"GO:0005622"	"MGL_4279"
"27"	"GO:0005623"	"GO:0030529"	"MGL_2952"
"28"	"GO:0005623"	"GO:0030529"	"MGL_2961"
"29"	"GO:0005623"	"GO:0005739"	"MGL_0598"
"30"	"GO:0005623"	"GO:0005739"	"MGL_1005"
"31"	"GO:0005623"	"GO:0005739"	"MGL_1613"
"32"	"GO:0005623"	"GO:0005739"	"MGL_2351"
"33"	"GO:0005623"	"GO:0005739"	"MGL_3003"
"34"	"GO:0005623"	"GO:0005739"	"MGL_3727"
"35"	"GO:0005623"	"GO:0005739"	"MGL_3743"
"36"	"GO:0005623"	"GO:0005829"	"MGL_0788"
"37"	"GO:0005623"	"GO:0005783"	"MGL_0310"
"38"	"GO:0005623"	"GO:0005840"	"MGL_0120"
"39"	"GO:0005623"	"GO:0005840"	"MGL_0379"
"40"	"GO:0005623"	"GO:0005840"	"MGL_0971"
"41"	"GO:0005623"	"GO:0005840"	"MGL_1287"
"42"	"GO:0005623"	"GO:0005840"	"MGL_1741"
"43"	"GO:0005623"	"GO:0005840"	"MGL_1945"
"44"	"GO:0005623"	"GO:0005840"	"MGL_3347"
"45"	"GO:0005623"	"GO:0005840"	"MGL_3654"
"46"	"GO:0005623"	"GO:0005840"	"MGL_3746"
"47"	"GO:0005623"	"GO:0005634"	"MGL_0788"
"48"	"GO:0005623"	"GO:0005634"	"MGL_1453"
"49"	"GO:0005623"	"GO:0005634"	"MGL_1743"
"50"	"GO:0005623"	"GO:0005634"	"MGL_1940"
"51"	"GO:0005623"	"GO:0005634"	"MGL_2020"
"52"	"GO:0005623"	"GO:0005634"	"MGL_2183"
"53"	"GO:0005623"	"GO:0005634"	"MGL_2353"
"54"	"GO:0005623"	"GO:0005634"	"MGL_2583"
"55"	"GO:0005623"	"GO:0005634"	"MGL_2969"
"56"	"GO:0005623"	"GO:0005634"	"MGL_3705"
"57"	"GO:0005623"	"GO:0005737"	"MGL_0220"
"58"	"GO:0005623"	"GO:0005737"	"MGL_0588"
"59"	"GO:0005623"	"GO:0005737"	"MGL_0788"
"60"	"GO:0005623"	"GO:0005737"	"MGL_0905"
"61"	"GO:0005623"	"GO:0005737"	"MGL_1745"
"62"	"GO:0005623"	"GO:0005737"	"MGL_2020"
"63"	"GO:0005623"	"GO:0005737"	"MGL_2351"
"64"	"GO:0005623"	"GO:0005737"	"MGL_2465"
"65"	"GO:0005623"	"GO:0005737"	"MGL_2671"
"66"	"GO:0005623"	"GO:0005737"	"MGL_2947"
"67"	"GO:0005623"	"GO:0005737"	"MGL_3314"
"68"	"GO:0005623"	"GO:0005737"	"MGL_3705"
"69"	"GO:0005623"	"GO:0005654"	"MGL_0788"
"70"	"GO:0005623"	"GO:0005654"	"MGL_1551"
"71"	"GO:0005623"	"GO:0005654"	"MGL_1745"
"72"	"GO:0005623"	"GO:0005730"	"MGL_1745"
"73"	"GO:0005623"	"GO:0005730"	"MGL_3411"
"74"	"GO:0005623"	"GO:0005794"	"MGL_3755"
"75"	"GO:0005623"	"GO:0005839"	"MGL_3705"
"76"	"GO:0005623"	"GO:0009332"	"MGL_3314"
"77"	"GO:0005623"	"GO:0009349"	"MGL_0356"
"78"	"GO:0005623"	"GO:0042709"	"MGL_2351"
"79"	"GO:0005623"	"GO:0042719"	"MGL_0598"
