"GO_term"	"GO_offspring"	"Gene"
"1"	"GO:0005840"	"GO:0005840"	"MGL_0078"
"2"	"GO:0005840"	"GO:0005840"	"MGL_0087"
"3"	"GO:0005840"	"GO:0005840"	"MGL_0107"
"4"	"GO:0005840"	"GO:0005840"	"MGL_0229"
"5"	"GO:0005840"	"GO:0005840"	"MGL_0379"
"6"	"GO:0005840"	"GO:0005840"	"MGL_0387"
"7"	"GO:0005840"	"GO:0005840"	"MGL_0429"
"8"	"GO:0005840"	"GO:0005840"	"MGL_0971"
"9"	"GO:0005840"	"GO:0005840"	"MGL_1052"
"10"	"GO:0005840"	"GO:0005840"	"MGL_1057"
"11"	"GO:0005840"	"GO:0005840"	"MGL_1116"
"12"	"GO:0005840"	"GO:0005840"	"MGL_1202"
"13"	"GO:0005840"	"GO:0005840"	"MGL_1264"
"14"	"GO:0005840"	"GO:0005840"	"MGL_1287"
"15"	"GO:0005840"	"GO:0005840"	"MGL_1454"
"16"	"GO:0005840"	"GO:0005840"	"MGL_1553"
"17"	"GO:0005840"	"GO:0005840"	"MGL_1554"
"18"	"GO:0005840"	"GO:0005840"	"MGL_1741"
"19"	"GO:0005840"	"GO:0005840"	"MGL_2060"
"20"	"GO:0005840"	"GO:0005840"	"MGL_2192"
"21"	"GO:0005840"	"GO:0005840"	"MGL_2242"
"22"	"GO:0005840"	"GO:0005840"	"MGL_2282"
"23"	"GO:0005840"	"GO:0005840"	"MGL_2356"
"24"	"GO:0005840"	"GO:0005840"	"MGL_2492"
"25"	"GO:0005840"	"GO:0005840"	"MGL_2554"
"26"	"GO:0005840"	"GO:0005840"	"MGL_2572"
"27"	"GO:0005840"	"GO:0005840"	"MGL_2573"
"28"	"GO:0005840"	"GO:0005840"	"MGL_2648"
"29"	"GO:0005840"	"GO:0005840"	"MGL_2681"
"30"	"GO:0005840"	"GO:0005840"	"MGL_2758"
"31"	"GO:0005840"	"GO:0005840"	"MGL_2944"
"32"	"GO:0005840"	"GO:0005840"	"MGL_3168"
"33"	"GO:0005840"	"GO:0005840"	"MGL_3169"
"34"	"GO:0005840"	"GO:0005840"	"MGL_3348"
"35"	"GO:0005840"	"GO:0005840"	"MGL_3501"
"36"	"GO:0005840"	"GO:0005840"	"MGL_3557"
"37"	"GO:0005840"	"GO:0005840"	"MGL_4117"
"38"	"GO:0005840"	"GO:0005840"	"MGL_4215"
"39"	"GO:0005840"	"GO:0015934"	"MGL_0387"
"40"	"GO:0005840"	"GO:0015934"	"MGL_2572"
"41"	"GO:0005840"	"GO:0015935"	"MGL_1553"
"42"	"GO:0005840"	"GO:0015935"	"MGL_1554"
