"GO_term"	"GO_offspring"	"Gene"
"1"	"GO:0003735"	"GO:0003735"	"MGL_0078"
"2"	"GO:0003735"	"GO:0003735"	"MGL_0229"
"3"	"GO:0003735"	"GO:0003735"	"MGL_0379"
"4"	"GO:0003735"	"GO:0003735"	"MGL_0971"
"5"	"GO:0003735"	"GO:0003735"	"MGL_1202"
"6"	"GO:0003735"	"GO:0003735"	"MGL_1265"
"7"	"GO:0003735"	"GO:0003735"	"MGL_1287"
"8"	"GO:0003735"	"GO:0003735"	"MGL_1429"
"9"	"GO:0003735"	"GO:0003735"	"MGL_1553"
"10"	"GO:0003735"	"GO:0003735"	"MGL_1554"
"11"	"GO:0003735"	"GO:0003735"	"MGL_2282"
"12"	"GO:0003735"	"GO:0003735"	"MGL_2409"
"13"	"GO:0003735"	"GO:0003735"	"MGL_2573"
"14"	"GO:0003735"	"GO:0003735"	"MGL_2608"
"15"	"GO:0003735"	"GO:0003735"	"MGL_2648"
"16"	"GO:0003735"	"GO:0003735"	"MGL_2945"
"17"	"GO:0003735"	"GO:0003735"	"MGL_3168"
"18"	"GO:0003735"	"GO:0003735"	"MGL_3348"
"19"	"GO:0003735"	"GO:0003735"	"MGL_3472"
"20"	"GO:0003735"	"GO:0003735"	"MGL_3557"
"21"	"GO:0003735"	"GO:0003735"	"MGL_4038"
"22"	"GO:0003735"	"GO:0003735"	"MGL_4117"
"23"	"GO:0005840"	"GO:0005840"	"MGL_0078"
"24"	"GO:0005840"	"GO:0005840"	"MGL_0083"
"25"	"GO:0005840"	"GO:0005840"	"MGL_0087"
"26"	"GO:0005840"	"GO:0005840"	"MGL_0107"
"27"	"GO:0005840"	"GO:0005840"	"MGL_0120"
"28"	"GO:0005840"	"GO:0005840"	"MGL_0229"
"29"	"GO:0005840"	"GO:0005840"	"MGL_0379"
"30"	"GO:0005840"	"GO:0005840"	"MGL_0971"
"31"	"GO:0005840"	"GO:0005840"	"MGL_1052"
"32"	"GO:0005840"	"GO:0005840"	"MGL_1057"
"33"	"GO:0005840"	"GO:0005840"	"MGL_1116"
"34"	"GO:0005840"	"GO:0005840"	"MGL_1202"
"35"	"GO:0005840"	"GO:0005840"	"MGL_1264"
"36"	"GO:0005840"	"GO:0005840"	"MGL_1265"
"37"	"GO:0005840"	"GO:0005840"	"MGL_1287"
"38"	"GO:0005840"	"GO:0005840"	"MGL_1429"
"39"	"GO:0005840"	"GO:0005840"	"MGL_1553"
"40"	"GO:0005840"	"GO:0005840"	"MGL_1554"
"41"	"GO:0005840"	"GO:0005840"	"MGL_2192"
"42"	"GO:0005840"	"GO:0005840"	"MGL_2282"
"43"	"GO:0005840"	"GO:0005840"	"MGL_2409"
"44"	"GO:0005840"	"GO:0005840"	"MGL_2492"
"45"	"GO:0005840"	"GO:0005840"	"MGL_2554"
"46"	"GO:0005840"	"GO:0005840"	"MGL_2573"
"47"	"GO:0005840"	"GO:0005840"	"MGL_2606"
"48"	"GO:0005840"	"GO:0005840"	"MGL_2608"
"49"	"GO:0005840"	"GO:0005840"	"MGL_2648"
"50"	"GO:0005840"	"GO:0005840"	"MGL_2945"
"51"	"GO:0005840"	"GO:0005840"	"MGL_3168"
"52"	"GO:0005840"	"GO:0005840"	"MGL_3348"
"53"	"GO:0005840"	"GO:0005840"	"MGL_3472"
"54"	"GO:0005840"	"GO:0005840"	"MGL_3557"
"55"	"GO:0005840"	"GO:0005840"	"MGL_4038"
"56"	"GO:0005840"	"GO:0005840"	"MGL_4117"
"57"	"GO:0005840"	"GO:0015935"	"MGL_1265"
"58"	"GO:0005840"	"GO:0015935"	"MGL_1553"
"59"	"GO:0005840"	"GO:0015935"	"MGL_1554"
"60"	"GO:0006412"	"GO:0006412"	"MGL_0078"
"61"	"GO:0006412"	"GO:0006412"	"MGL_0083"
"62"	"GO:0006412"	"GO:0006412"	"MGL_0087"
"63"	"GO:0006412"	"GO:0006412"	"MGL_0107"
"64"	"GO:0006412"	"GO:0006412"	"MGL_0120"
"65"	"GO:0006412"	"GO:0006412"	"MGL_0229"
"66"	"GO:0006412"	"GO:0006412"	"MGL_0379"
"67"	"GO:0006412"	"GO:0006412"	"MGL_0971"
"68"	"GO:0006412"	"GO:0006412"	"MGL_1052"
"69"	"GO:0006412"	"GO:0006412"	"MGL_1057"
"70"	"GO:0006412"	"GO:0006412"	"MGL_1116"
"71"	"GO:0006412"	"GO:0006412"	"MGL_1202"
"72"	"GO:0006412"	"GO:0006412"	"MGL_1264"
"73"	"GO:0006412"	"GO:0006412"	"MGL_1265"
"74"	"GO:0006412"	"GO:0006412"	"MGL_1287"
"75"	"GO:0006412"	"GO:0006412"	"MGL_1429"
"76"	"GO:0006412"	"GO:0006412"	"MGL_1433"
"77"	"GO:0006412"	"GO:0006412"	"MGL_1553"
"78"	"GO:0006412"	"GO:0006412"	"MGL_1554"
"79"	"GO:0006412"	"GO:0006412"	"MGL_1578"
"80"	"GO:0006412"	"GO:0006412"	"MGL_2192"
"81"	"GO:0006412"	"GO:0006412"	"MGL_2282"
"82"	"GO:0006412"	"GO:0006412"	"MGL_2409"
"83"	"GO:0006412"	"GO:0006412"	"MGL_2492"
"84"	"GO:0006412"	"GO:0006412"	"MGL_2554"
"85"	"GO:0006412"	"GO:0006412"	"MGL_2573"
"86"	"GO:0006412"	"GO:0006412"	"MGL_2606"
"87"	"GO:0006412"	"GO:0006412"	"MGL_2608"
"88"	"GO:0006412"	"GO:0006412"	"MGL_2648"
"89"	"GO:0006412"	"GO:0006412"	"MGL_2945"
"90"	"GO:0006412"	"GO:0006412"	"MGL_3168"
"91"	"GO:0006412"	"GO:0006412"	"MGL_3348"
"92"	"GO:0006412"	"GO:0006412"	"MGL_3354"
"93"	"GO:0006412"	"GO:0006412"	"MGL_3472"
"94"	"GO:0006412"	"GO:0006412"	"MGL_3557"
"95"	"GO:0006412"	"GO:0006412"	"MGL_3918"
"96"	"GO:0006412"	"GO:0006412"	"MGL_4038"
"97"	"GO:0006412"	"GO:0006412"	"MGL_4117"
"98"	"GO:0006412"	"GO:0006413"	"MGL_0120"
