"GO_term"	"GO_offspring"	"Gene"
"1"	"GO:0000785"	"GO:0000786"	"MGL_2139"
"2"	"GO:0000785"	"GO:0000786"	"MGL_3512"
"3"	"GO:0000786"	"GO:0000786"	"MGL_2139"
"4"	"GO:0000786"	"GO:0000786"	"MGL_3512"
"5"	"GO:0003676"	"GO:0003676"	"MGL_1002"
"6"	"GO:0003676"	"GO:0003676"	"MGL_2235"
"7"	"GO:0003676"	"GO:0003676"	"MGL_2457"
"8"	"GO:0003676"	"GO:0003676"	"MGL_2644"
"9"	"GO:0003676"	"GO:0003676"	"MGL_2747"
"10"	"GO:0003676"	"GO:0003676"	"MGL_2987"
"11"	"GO:0003676"	"GO:0003676"	"MGL_3251"
"12"	"GO:0003676"	"GO:0003676"	"MGL_3414"
"13"	"GO:0003676"	"GO:0003677"	"MGL_0223"
"14"	"GO:0003676"	"GO:0003677"	"MGL_0974"
"15"	"GO:0003676"	"GO:0003677"	"MGL_1410"
"16"	"GO:0003676"	"GO:0003677"	"MGL_1510"
"17"	"GO:0003676"	"GO:0003677"	"MGL_1757"
"18"	"GO:0003676"	"GO:0003677"	"MGL_2020"
"19"	"GO:0003676"	"GO:0003677"	"MGL_2139"
"20"	"GO:0003676"	"GO:0003677"	"MGL_2494"
"21"	"GO:0003676"	"GO:0003677"	"MGL_2782"
"22"	"GO:0003676"	"GO:0003677"	"MGL_2969"
"23"	"GO:0003676"	"GO:0003677"	"MGL_3230"
"24"	"GO:0003676"	"GO:0003677"	"MGL_3245"
"25"	"GO:0003676"	"GO:0003677"	"MGL_3512"
"26"	"GO:0003676"	"GO:0003677"	"MGL_3744"
"27"	"GO:0003676"	"GO:0003677"	"MGL_4081"
"28"	"GO:0003676"	"GO:0003723"	"MGL_1554"
"29"	"GO:0003676"	"GO:0003723"	"MGL_1870"
"30"	"GO:0003676"	"GO:0003723"	"MGL_2567"
"31"	"GO:0003676"	"GO:0003723"	"MGL_2813"
"32"	"GO:0003676"	"GO:0003723"	"MGL_3409"
"33"	"GO:0003676"	"GO:0003723"	"MGL_3411"
"34"	"GO:0003676"	"GO:0003723"	"MGL_3414"
"35"	"GO:0003676"	"GO:0003723"	"MGL_3501"
"36"	"GO:0003676"	"GO:0003723"	"MGL_3697"
"37"	"GO:0003676"	"GO:0003725"	"MGL_2813"
"38"	"GO:0003676"	"GO:0003743"	"MGL_2192"
"39"	"GO:0003676"	"GO:0003743"	"MGL_3414"
"40"	"GO:0003676"	"GO:0003746"	"MGL_0087"
"41"	"GO:0003676"	"GO:0003746"	"MGL_0122"
"42"	"GO:0003676"	"GO:0003746"	"MGL_3306"
"43"	"GO:0003676"	"GO:0008135"	"MGL_0087"
"44"	"GO:0003676"	"GO:0008135"	"MGL_0122"
"45"	"GO:0003676"	"GO:0008135"	"MGL_2192"
"46"	"GO:0003676"	"GO:0008135"	"MGL_3306"
"47"	"GO:0003676"	"GO:0008135"	"MGL_3402"
"48"	"GO:0003676"	"GO:0008135"	"MGL_3414"
"49"	"GO:0003676"	"GO:0043565"	"MGL_3744"
"50"	"GO:0003735"	"GO:0003735"	"MGL_0072"
"51"	"GO:0003735"	"GO:0003735"	"MGL_0971"
