MGL_1529	GO:0003824, GO:0004766, GO:0005488
MGL_0890	GO:0004339
MGL_1422	GO:0003924, GO:0005525, GO:0008547
MGL_2736	GO:0004339
MGL_2357	GO:0003676
MGL_1318	GO:0004177, GO:0004178
MGL_4150	GO:0004497, GO:0016491, GO:0018662
MGL_3015	GO:0003700, GO:0043565, GO:0046983
MGL_2332	GO:0003676, GO:0004527, GO:0004528, GO:0005488, GO:0008270
MGL_2063	GO:0005215, GO:0005351, GO:0008733
MGL_1905	GO:0005515
MGL_3873	GO:0000166, GO:0004812, GO:0004826, GO:0005524
MGL_2185	GO:0003684, GO:0004527
MGL_2833	GO:0000155, GO:0004673, GO:0004740, GO:0005524
MGL_0138	GO:0016307, GO:0016308, GO:0016820
MGL_2209	GO:0004682, GO:0008605
MGL_1506	GO:0003677, GO:0003910, GO:0005524
MGL_0873	GO:0004672, GO:0005524
MGL_3638	GO:0004182, GO:0008270
MGL_3294	GO:0000287, GO:0003824, GO:0004743, GO:0030955
MGL_2258	GO:0003676, GO:0004386, GO:0005524, GO:0008026
MGL_2963	GO:0005488, GO:0005515
MGL_1710	GO:0008318
MGL_3884	GO:0000810, GO:0003676, GO:0004386, GO:0004787, GO:0005524, GO:0008026, GO:0008413, GO:0008758, GO:0008796, GO:0008828, GO:0016462, GO:0019176, GO:0019177, GO:0043141
MGL_0764	GO:0004742, GO:0005515, GO:0008415, GO:0030523
MGL_3886	GO:0004721, GO:0004723, GO:0004724, GO:0008420, GO:0008597, GO:0017018, GO:0017020
MGL_1758	GO:0004748, GO:0016491, GO:0046914
MGL_3414	GO:0003676, GO:0003723, GO:0003743
MGL_3095	GO:0004751
MGL_1457	GO:0004016, GO:0005515, GO:0008294
MGL_2992	GO:0005506, GO:0008941, GO:0016491, GO:0020037
MGL_2057	GO:0000810, GO:0003677, GO:0004787, GO:0005524, GO:0008413, GO:0008758, GO:0008796, GO:0008828, GO:0016462, GO:0019176, GO:0019177, GO:0043141
MGL_4053	GO:0004190, GO:0004194
MGL_3642	GO:0004339
MGL_0202	GO:0003735, GO:0030528
MGL_1842	GO:0003824, GO:0003825
MGL_3451	GO:0003865, GO:0016627
MGL_3347	GO:0003735
MGL_2366	GO:0003824, GO:0004018
MGL_2707	GO:0005215
MGL_1760	GO:0003779, GO:0005488
MGL_0209	GO:0005098, GO:0005515
MGL_3387	GO:0004308, GO:0005488
MGL_2279	GO:0005086
MGL_1085	GO:0004622
MGL_0893	GO:0004742, GO:0005515, GO:0008415, GO:0030523
MGL_4012	GO:0003676, GO:0003677, GO:0003887, GO:0034061
MGL_1893	GO:0008237, GO:0008270
MGL_0641	GO:0000298, GO:0016787
MGL_1712	GO:0047750
MGL_0676	GO:0000166, GO:0004298, GO:0004299, GO:0005524, GO:0016787, GO:0017111
MGL_0215	GO:0000156, GO:0004672, GO:0004674, GO:0004675, GO:0004676, GO:0004677, GO:0004679, GO:0004680, GO:0004681, GO:0004690, GO:0004694, GO:0004695, GO:0004696, GO:0004698, GO:0004700, GO:0004702, GO:0004704, GO:0004705, GO:0004706, GO:0004708, GO:0004710, GO:0004711, GO:0004713, GO:0004718, GO:0005524, GO:0008338, GO:0008339, GO:0008349, GO:0008545, GO:0016908, GO:0016909, GO:0019199, GO:0019912, GO:0034211
MGL_3334	GO:0004190, GO:0004194
MGL_2111	GO:0004053, GO:0016813, GO:0046872
MGL_2845	GO:0003723, GO:0003899, GO:0003900, GO:0003901, GO:0003902, GO:0034062
MGL_0220	GO:0003924, GO:0003925
MGL_1024	GO:0003824, GO:0004043, GO:0005488, GO:0008270, GO:0016491, GO:0048037
MGL_0356	GO:0004746
MGL_3129	GO:0004672, GO:0004674, GO:0004713, GO:0005524
MGL_2957	GO:0003735
MGL_4181	GO:0003824, GO:0004633
MGL_1730	GO:0003676, GO:0008270
MGL_4162	GO:0004497, GO:0016491, GO:0018662
MGL_0817	GO:0003824, GO:0005488, GO:0045551, GO:0050662
MGL_0605	GO:0003676, GO:0008270
MGL_0161	GO:0003677, GO:0003824, GO:0004518, GO:0008409
MGL_2513	GO:0003755, GO:0004600, GO:0030051, GO:0042027
MGL_3784	GO:0009055, GO:0015035
MGL_3940	GO:0005525
MGL_2538	GO:0003824, GO:0005488, GO:0016491
MGL_3622	GO:0008168, GO:0008425, GO:0008689
MGL_3608	GO:0003677
MGL_3177	GO:0004842, GO:0005515, GO:0008270
MGL_0253	GO:0004417, GO:0004789
MGL_0374	GO:0003824, GO:0004124, GO:0030170
MGL_0614	GO:0004460, GO:0016491, GO:0020037, GO:0046914
MGL_2520	GO:0005215
MGL_1225	GO:0016787
MGL_3234	GO:0003755, GO:0004600, GO:0030051, GO:0042027
MGL_0370	GO:0000287, GO:0008897
MGL_2126	GO:0004430
MGL_3392	GO:0008270
MGL_2261	GO:0004584
MGL_2786	GO:0004672, GO:0004674, GO:0004713, GO:0005524, GO:0016787
MGL_3899	GO:0016491
MGL_0659	GO:0003824
MGL_0361	GO:0000293
MGL_0235	GO:0003824, GO:0004043, GO:0016874, GO:0031177, GO:0048037
MGL_1946	GO:0008168, GO:0008176
MGL_0313	GO:0003677, GO:0003700
MGL_2862	GO:0005515
MGL_1862	GO:0004190, GO:0004244, GO:0008717
MGL_0094	GO:0000166, GO:0003676, GO:0003677, GO:0003887, GO:0034061
MGL_3105	GO:0003824, GO:0004401
MGL_2084	GO:0000166, GO:0005524, GO:0016887, GO:0017111, GO:0042626
