"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0009058"	"biosynthetic process"	739	108	86.4	"0.00035"
"2"	"GO:0009059"	"macromolecule biosynthetic process"	365	62	42.67	"0.00071"
"3"	"GO:0006414"	"translational elongation"	10	3	1.17	"0.00075"
"4"	"GO:0044267"	"cellular protein metabolic process"	548	75	64.07	"0.00080"
"5"	"GO:0006091"	"generation of precursor metabolites and ..."	94	25	10.99	"0.00085"
"6"	"GO:0006412"	"translation"	229	45	26.77	"0.00107"
"7"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	361	62	42.21	"0.00137"
"8"	"GO:0010467"	"gene expression"	386	68	45.13	"0.00509"
"9"	"GO:0044260"	"cellular macromolecule metabolic process"	848	107	99.14	"0.00583"
"10"	"GO:0044249"	"cellular biosynthetic process"	531	77	62.08	"0.00674"
"11"	"GO:0071842"	"cellular component organization at cellu..."	190	24	22.21	"0.01183"
"12"	"GO:0019538"	"protein metabolic process"	687	85	80.32	"0.01465"
"13"	"GO:0006418"	"tRNA aminoacylation for protein translat..."	36	8	4.21	"0.01479"
"14"	"GO:0043038"	"amino acid activation"	36	8	4.21	"0.01479"
"15"	"GO:0043039"	"tRNA aminoacylation"	36	8	4.21	"0.01479"
"16"	"GO:0005975"	"carbohydrate metabolic process"	135	21	15.78	"0.01530"
"17"	"GO:0044238"	"primary metabolic process"	1526	183	178.41	"0.01574"
"18"	"GO:0043170"	"macromolecule metabolic process"	992	118	115.98	"0.01593"
"19"	"GO:0006996"	"organelle organization"	169	21	19.76	"0.01597"
"20"	"GO:0018193"	"peptidyl-amino acid modification"	6	1	0.7	"0.01897"
"21"	"GO:0071841"	"cellular component organization or bioge..."	212	27	24.79	"0.02400"
"22"	"GO:0045454"	"cell redox homeostasis"	12	2	1.4	"0.02423"
"23"	"GO:0019637"	"organophosphate metabolic process"	26	5	3.04	"0.02438"
"24"	"GO:0006644"	"phospholipid metabolic process"	24	5	2.81	"0.02528"
"25"	"GO:0044237"	"cellular metabolic process"	1377	181	160.99	"0.02790"
