"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0009059"	"macromolecule biosynthetic process"	365	38	21.7	"9.8e-05"
"2"	"GO:0009058"	"biosynthetic process"	739	60	43.94	"0.00019"
"3"	"GO:0006412"	"translation"	229	31	13.62	"0.00020"
"4"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	361	38	21.47	"0.00021"
"5"	"GO:0006414"	"translational elongation"	10	3	0.59	"0.00041"
"6"	"GO:0044267"	"cellular protein metabolic process"	548	45	32.58	"0.00059"
"7"	"GO:0044249"	"cellular biosynthetic process"	531	45	31.57	"0.00075"
"8"	"GO:0006091"	"generation of precursor metabolites and ..."	94	14	5.59	"0.00077"
"9"	"GO:0010467"	"gene expression"	386	43	22.95	"0.00210"
"10"	"GO:0044260"	"cellular macromolecule metabolic process"	848	61	50.42	"0.00650"
"11"	"GO:0006418"	"tRNA aminoacylation for protein translat..."	36	4	2.14	"0.00774"
"12"	"GO:0043038"	"amino acid activation"	36	4	2.14	"0.00774"
"13"	"GO:0043039"	"tRNA aminoacylation"	36	4	2.14	"0.00774"
"14"	"GO:0045454"	"cell redox homeostasis"	12	2	0.71	"0.01339"
"15"	"GO:0005975"	"carbohydrate metabolic process"	135	11	8.03	"0.01418"
"16"	"GO:0018193"	"peptidyl-amino acid modification"	6	0	0.36	"0.01504"
"17"	"GO:0019538"	"protein metabolic process"	687	50	40.85	"0.01518"
"18"	"GO:0044237"	"cellular metabolic process"	1377	98	81.88	"0.01654"
"19"	"GO:0009628"	"response to abiotic stimulus"	20	3	1.19	"0.02719"
"20"	"GO:0071842"	"cellular component organization at cellu..."	190	8	11.3	"0.02838"
"21"	"GO:0017038"	"protein import"	14	4	0.83	"0.02883"
"22"	"GO:0044281"	"small molecule metabolic process"	273	19	16.23	"0.03324"
"23"	"GO:0006996"	"organelle organization"	169	6	10.05	"0.03377"
"24"	"GO:0044238"	"primary metabolic process"	1526	100	90.74	"0.03381"
"25"	"GO:0043170"	"macromolecule metabolic process"	992	67	58.99	"0.03414"
"26"	"GO:0019637"	"organophosphate metabolic process"	26	2	1.55	"0.03769"
"27"	"GO:0006644"	"phospholipid metabolic process"	24	2	1.43	"0.03835"
"28"	"GO:0071841"	"cellular component organization or bioge..."	212	11	12.61	"0.04392"
"29"	"GO:0007005"	"mitochondrion organization"	22	1	1.31	"0.04589"
"30"	"GO:0008152"	"metabolic process"	1957	128	116.37	"0.04724"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
