"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0015935"	"small ribosomal subunit"	8	4	1.01	"5.6e-05"
"2"	"GO:0005737"	"cytoplasm"	804	136	101.34	"8.8e-05"
"3"	"GO:0043228"	"non-membrane-bounded organelle"	396	66	49.91	"0.00031"
"4"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	66	49.91	"0.00031"
"5"	"GO:0044391"	"ribosomal subunit"	14	5	1.76	"0.00099"
"6"	"GO:0044444"	"cytoplasmic part"	566	99	71.34	"0.00263"
"7"	"GO:0005840"	"ribosome"	182	39	22.94	"0.00310"
"8"	"GO:0030529"	"ribonucleoprotein complex"	215	42	27.1	"0.00813"
"9"	"GO:0005829"	"cytosol"	50	9	6.3	"0.00896"
"10"	"GO:0044424"	"intracellular part"	1297	186	163.48	"0.01258"
"11"	"GO:0005623"	"cell"	1768	227	222.84	"0.01420"
"12"	"GO:0043226"	"organelle"	1052	147	132.6	"0.01755"
"13"	"GO:0005694"	"chromosome"	94	13	11.85	"0.01933"
"14"	"GO:0044464"	"cell part"	1523	203	191.96	"0.02586"
"15"	"GO:0043229"	"intracellular organelle"	1038	144	130.83	"0.02914"
"16"	"GO:0005740"	"mitochondrial envelope"	31	7	3.91	"0.03275"
"17"	"GO:0005622"	"intracellular"	1513	203	190.7	"0.03737"
"18"	"GO:0044445"	"cytosolic part"	12	5	1.51	"0.04184"
"19"	"GO:0032991"	"macromolecular complex"	719	110	90.62	"0.05253"
"20"	"GO:0031966"	"mitochondrial membrane"	24	5	3.02	"0.07609"
"21"	"GO:0031967"	"organelle envelope"	53	11	6.68	"0.07741"
"22"	"GO:0031975"	"envelope"	53	11	6.68	"0.07741"
"23"	"GO:0044429"	"mitochondrial part"	39	8	4.92	"0.09349"
"24"	"GO:0005777"	"peroxisome"	17	4	2.14	"0.11471"
"25"	"GO:0042579"	"microbody"	17	4	2.14	"0.11471"
"26"	"GO:0000785"	"chromatin"	14	2	1.76	"0.12368"
"27"	"GO:0031090"	"organelle membrane"	54	11	6.81	"0.12820"
"28"	"GO:0032993"	"protein-DNA complex"	12	2	1.51	"0.14235"
"29"	"GO:0005743"	"mitochondrial inner membrane"	20	4	2.52	"0.15839"
"30"	"GO:0019866"	"organelle inner membrane"	20	4	2.52	"0.15839"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0015935"	"small ribosomal subunit"	8	4	1.01	"5.6e-05"
"2"	"GO:0005737"	"cytoplasm"	804	136	101.34	"0.00083"
"3"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	66	49.91	"0.00172"
"4"	"GO:0005829"	"cytosol"	50	9	6.3	"0.00896"
"5"	"GO:0005694"	"chromosome"	94	13	11.85	"0.01933"
"6"	"GO:0005623"	"cell"	1768	227	222.84	"0.02270"
"7"	"GO:0005840"	"ribosome"	182	39	22.94	"0.02496"
"8"	"GO:0044444"	"cytoplasmic part"	566	99	71.34	"0.03210"
"9"	"GO:0005740"	"mitochondrial envelope"	31	7	3.91	"0.03275"
"10"	"GO:0044445"	"cytosolic part"	12	5	1.51	"0.04184"
"11"	"GO:0030529"	"ribonucleoprotein complex"	215	42	27.1	"0.04768"
"12"	"GO:0031966"	"mitochondrial membrane"	24	5	3.02	"0.07609"
"13"	"GO:0031975"	"envelope"	53	11	6.68	"0.07741"
"14"	"GO:0031967"	"organelle envelope"	53	11	6.68	"0.07741"
"15"	"GO:0032991"	"macromolecular complex"	719	110	90.62	"0.09320"
"16"	"GO:0044429"	"mitochondrial part"	39	8	4.92	"0.09349"
"17"	"GO:0005777"	"peroxisome"	17	4	2.14	"0.11471"
"18"	"GO:0042579"	"microbody"	17	4	2.14	"0.11471"
"19"	"GO:0000785"	"chromatin"	14	2	1.76	"0.12368"
"20"	"GO:0031090"	"organelle membrane"	54	11	6.81	"0.12820"
"21"	"GO:0032993"	"protein-DNA complex"	12	2	1.51	"0.14235"
"22"	"GO:0019866"	"organelle inner membrane"	20	4	2.52	"0.15839"
"23"	"GO:0005743"	"mitochondrial inner membrane"	20	4	2.52	"0.15839"
"24"	"GO:0005739"	"mitochondrion"	166	27	20.92	"0.15985"
"25"	"GO:0044427"	"chromosomal part"	22	3	2.77	"0.16619"
"26"	"GO:0031970"	"organelle envelope lumen"	5	2	0.63	"0.17117"
"27"	"GO:0005758"	"mitochondrial intermembrane space"	5	2	0.63	"0.17117"
"28"	"GO:0044464"	"cell part"	1523	203	191.96	"0.17733"
"29"	"GO:0031903"	"microbody membrane"	5	1	0.63	"0.19445"
"30"	"GO:0005778"	"peroxisomal membrane"	5	1	0.63	"0.19445"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.weight01"
"1"	"GO:0015935"	"small ribosomal subunit"	8	4	1.01	"5.6e-05"
"2"	"GO:0005840"	"ribosome"	182	39	22.94	"0.022"
"3"	"GO:0005737"	"cytoplasm"	804	136	101.34	"0.022"
"4"	"GO:0044445"	"cytosolic part"	12	5	1.51	"0.042"
"5"	"GO:0005623"	"cell"	1768	227	222.84	"0.043"
"6"	"GO:0005829"	"cytosol"	50	9	6.3	"0.072"
"7"	"GO:0044444"	"cytoplasmic part"	566	99	71.34	"0.096"
"8"	"GO:0005622"	"intracellular"	1513	203	190.7	"0.097"
"9"	"GO:0005777"	"peroxisome"	17	4	2.14	"0.110"
"10"	"GO:0005856"	"cytoskeleton"	68	7	8.57	"0.111"
"11"	"GO:0043226"	"organelle"	1052	147	132.6	"0.145"
"12"	"GO:0005743"	"mitochondrial inner membrane"	20	4	2.52	"0.158"
"13"	"GO:0005758"	"mitochondrial intermembrane space"	5	2	0.63	"0.171"
"14"	"GO:0005694"	"chromosome"	94	13	11.85	"0.185"
"15"	"GO:0005778"	"peroxisomal membrane"	5	1	0.63	"0.194"
"16"	"GO:0016469"	"proton-transporting two-sector ATPase co..."	30	0	3.78	"0.204"
"17"	"GO:0005815"	"microtubule organizing center"	9	1	1.13	"0.204"
"18"	"GO:0005783"	"endoplasmic reticulum"	79	12	9.96	"0.210"
"19"	"GO:0043234"	"protein complex"	511	68	64.41	"0.222"
"20"	"GO:0000228"	"nuclear chromosome"	27	2	3.4	"0.241"
"21"	"GO:0015629"	"actin cytoskeleton"	10	2	1.26	"0.256"
