"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0015935"	"small ribosomal subunit"	8	4	0.52	"5.8e-05"
"2"	"GO:0005737"	"cytoplasm"	804	73	52.68	"0.00021"
"3"	"GO:0043228"	"non-membrane-bounded organelle"	396	45	25.95	"0.00083"
"4"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	45	25.95	"0.00083"
"5"	"GO:0044391"	"ribosomal subunit"	14	5	0.92	"0.00104"
"6"	"GO:0044444"	"cytoplasmic part"	566	55	37.08	"0.00401"
"7"	"GO:0005840"	"ribosome"	182	29	11.92	"0.00452"
"8"	"GO:0005829"	"cytosol"	50	3	3.28	"0.00716"
"9"	"GO:0030529"	"ribonucleoprotein complex"	215	30	14.09	"0.00770"
"10"	"GO:0044424"	"intracellular part"	1297	100	84.98	"0.01489"
"11"	"GO:0005623"	"cell"	1768	118	115.84	"0.02087"
"12"	"GO:0032991"	"macromolecular complex"	719	58	47.11	"0.02369"
"13"	"GO:0005694"	"chromosome"	94	6	6.16	"0.02493"
"14"	"GO:0044464"	"cell part"	1523	108	99.79	"0.02654"
"15"	"GO:0005622"	"intracellular"	1513	108	99.13	"0.03787"
"16"	"GO:0044445"	"cytosolic part"	12	2	0.79	"0.04064"
"17"	"GO:0005740"	"mitochondrial envelope"	31	3	2.03	"0.04434"
"18"	"GO:0043226"	"organelle"	1052	83	68.93	"0.04672"
"19"	"GO:0044429"	"mitochondrial part"	39	3	2.56	"0.06063"
"20"	"GO:0043229"	"intracellular organelle"	1038	81	68.01	"0.07096"
"21"	"GO:0031966"	"mitochondrial membrane"	24	2	1.57	"0.09584"
"22"	"GO:0031967"	"organelle envelope"	53	6	3.47	"0.10882"
"23"	"GO:0031975"	"envelope"	53	6	3.47	"0.10882"
"24"	"GO:0000785"	"chromatin"	14	2	0.92	"0.11151"
"25"	"GO:0032993"	"protein-DNA complex"	12	2	0.79	"0.12977"
"26"	"GO:0005777"	"peroxisome"	17	1	1.11	"0.13211"
"27"	"GO:0042579"	"microbody"	17	1	1.11	"0.13211"
"28"	"GO:0044427"	"chromosomal part"	22	2	1.44	"0.14723"
"29"	"GO:0005758"	"mitochondrial intermembrane space"	5	1	0.33	"0.17358"
"30"	"GO:0031970"	"organelle envelope lumen"	5	1	0.33	"0.17358"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0015935"	"small ribosomal subunit"	8	4	0.52	"5.8e-05"
"2"	"GO:0005737"	"cytoplasm"	804	73	52.68	"0.0014"
"3"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	45	25.95	"0.0040"
"4"	"GO:0005829"	"cytosol"	50	3	3.28	"0.0072"
"5"	"GO:0005694"	"chromosome"	94	6	6.16	"0.0249"
"6"	"GO:0005840"	"ribosome"	182	29	11.92	"0.0266"
"7"	"GO:0044444"	"cytoplasmic part"	566	55	37.08	"0.0376"
"8"	"GO:0005623"	"cell"	1768	118	115.84	"0.0381"
"9"	"GO:0030529"	"ribonucleoprotein complex"	215	30	14.09	"0.0387"
"10"	"GO:0044445"	"cytosolic part"	12	2	0.79	"0.0406"
"11"	"GO:0005740"	"mitochondrial envelope"	31	3	2.03	"0.0443"
"12"	"GO:0032991"	"macromolecular complex"	719	58	47.11	"0.0531"
"13"	"GO:0044429"	"mitochondrial part"	39	3	2.56	"0.0606"
"14"	"GO:0031966"	"mitochondrial membrane"	24	2	1.57	"0.0958"
"15"	"GO:0031975"	"envelope"	53	6	3.47	"0.1088"
"16"	"GO:0031967"	"organelle envelope"	53	6	3.47	"0.1088"
"17"	"GO:0000785"	"chromatin"	14	2	0.92	"0.1115"
"18"	"GO:0032993"	"protein-DNA complex"	12	2	0.79	"0.1298"
"19"	"GO:0005777"	"peroxisome"	17	1	1.11	"0.1321"
"20"	"GO:0042579"	"microbody"	17	1	1.11	"0.1321"
"21"	"GO:0044427"	"chromosomal part"	22	2	1.44	"0.1472"
"22"	"GO:0031970"	"organelle envelope lumen"	5	1	0.33	"0.1736"
"23"	"GO:0005758"	"mitochondrial intermembrane space"	5	1	0.33	"0.1736"
"24"	"GO:0005815"	"microtubule organizing center"	9	1	0.59	"0.1810"
"25"	"GO:0005739"	"mitochondrion"	166	13	10.88	"0.1856"
"26"	"GO:0019866"	"organelle inner membrane"	20	1	1.31	"0.1892"
"27"	"GO:0005743"	"mitochondrial inner membrane"	20	1	1.31	"0.1892"
"28"	"GO:0044464"	"cell part"	1523	108	99.79	"0.1942"
"29"	"GO:0031090"	"organelle membrane"	54	4	3.54	"0.1997"
"30"	"GO:0031903"	"microbody membrane"	5	0	0.33	"0.2079"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.weight01"
"1"	"GO:0015935"	"small ribosomal subunit"	8	4	0.52	"5.8e-05"
"2"	"GO:0005840"	"ribosome"	182	29	11.92	"0.027"
"3"	"GO:0005737"	"cytoplasm"	804	73	52.68	"0.029"
