"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0016874"	"ligase activity"	126	17	13.82	"0.0013"
"2"	"GO:0003735"	"structural constituent of ribosome"	115	27	12.62	"0.0019"
"3"	"GO:0003746"	"translation elongation factor activity"	7	3	0.77	"0.0020"
"4"	"GO:0005198"	"structural molecule activity"	143	29	15.69	"0.0022"
"5"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	3	0.66	"0.0082"
"6"	"GO:0004622"	"lysophospholipase activity"	5	3	0.55	"0.0135"
"7"	"GO:0008408"	"3'-5' exonuclease activity"	16	2	1.76	"0.0273"
"8"	"GO:0004579"	"dolichyl-diphosphooligosaccharide-protei..."	5	2	0.55	"0.0347"
"9"	"GO:0004339"	"glucan 1,4-alpha-glucosidase activity"	48	8	5.27	"0.0366"
"10"	"GO:0016780"	"phosphotransferase activity, for other s..."	7	1	0.77	"0.0374"
"11"	"GO:0004812"	"aminoacyl-tRNA ligase activity"	38	8	4.17	"0.0381"
"12"	"GO:0016875"	"ligase activity, forming carbon-oxygen b..."	38	8	4.17	"0.0381"
"13"	"GO:0016876"	"ligase activity, forming aminoacyl-tRNA ..."	38	8	4.17	"0.0381"
"14"	"GO:0016408"	"C-acyltransferase activity"	12	3	1.32	"0.0385"
"15"	"GO:0017169"	"CDP-alcohol phosphatidyltransferase acti..."	5	1	0.55	"0.0386"
"16"	"GO:0004532"	"exoribonuclease activity"	15	1	1.65	"0.0405"
"17"	"GO:0016896"	"exoribonuclease activity, producing 5'-p..."	15	1	1.65	"0.0405"
"18"	"GO:0005085"	"guanyl-nucleotide exchange factor activi..."	20	1	2.19	"0.0578"
"19"	"GO:0000175"	"3'-5'-exoribonuclease activity"	14	1	1.54	"0.0596"
"20"	"GO:0020037"	"heme binding"	27	2	2.96	"0.0628"
"21"	"GO:0046906"	"tetrapyrrole binding"	27	2	2.96	"0.0628"
"22"	"GO:0015297"	"antiporter activity"	6	1	0.66	"0.0652"
"23"	"GO:0016886"	"ligase activity, forming phosphoric este..."	7	1	0.77	"0.0828"
"24"	"GO:0009055"	"electron carrier activity"	37	7	4.06	"0.0851"
"25"	"GO:0016879"	"ligase activity, forming carbon-nitrogen..."	67	6	7.35	"0.0856"
"26"	"GO:0036094"	"small molecule binding"	778	90	85.35	"0.0863"
"27"	"GO:0004175"	"endopeptidase activity"	72	5	7.9	"0.0915"
"28"	"GO:0015926"	"glucosidase activity"	53	8	5.81	"0.0966"
"29"	"GO:0015298"	"solute:cation antiporter activity"	5	0	0.55	"0.1029"
"30"	"GO:0015299"	"solute:hydrogen antiporter activity"	5	0	0.55	"0.1029"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0016874"	"ligase activity"	126	17	13.82	"0.0013"
"2"	"GO:0003735"	"structural constituent of ribosome"	115	27	12.62	"0.0019"
"3"	"GO:0003746"	"translation elongation factor activity"	7	3	0.77	"0.0020"
"4"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	3	0.66	"0.0082"
"5"	"GO:0004622"	"lysophospholipase activity"	5	3	0.55	"0.0135"
"6"	"GO:0008408"	"3'-5' exonuclease activity"	16	2	1.76	"0.0273"
"7"	"GO:0004579"	"dolichyl-diphosphooligosaccharide-protei..."	5	2	0.55	"0.0347"
"8"	"GO:0004339"	"glucan 1,4-alpha-glucosidase activity"	48	8	5.27	"0.0366"
"9"	"GO:0016780"	"phosphotransferase activity, for other s..."	7	1	0.77	"0.0374"
"10"	"GO:0016875"	"ligase activity, forming carbon-oxygen b..."	38	8	4.17	"0.0381"
"11"	"GO:0016876"	"ligase activity, forming aminoacyl-tRNA ..."	38	8	4.17	"0.0381"
"12"	"GO:0004812"	"aminoacyl-tRNA ligase activity"	38	8	4.17	"0.0381"
"13"	"GO:0016408"	"C-acyltransferase activity"	12	3	1.32	"0.0385"
"14"	"GO:0017169"	"CDP-alcohol phosphatidyltransferase acti..."	5	1	0.55	"0.0386"
"15"	"GO:0016896"	"exoribonuclease activity, producing 5'-p..."	15	1	1.65	"0.0405"
"16"	"GO:0004532"	"exoribonuclease activity"	15	1	1.65	"0.0405"
"17"	"GO:0005085"	"guanyl-nucleotide exchange factor activi..."	20	1	2.19	"0.0578"
"18"	"GO:0000175"	"3'-5'-exoribonuclease activity"	14	1	1.54	"0.0596"
"19"	"GO:0020037"	"heme binding"	27	2	2.96	"0.0628"
"20"	"GO:0046906"	"tetrapyrrole binding"	27	2	2.96	"0.0628"
"21"	"GO:0015297"	"antiporter activity"	6	1	0.66	"0.0652"
"22"	"GO:0016886"	"ligase activity, forming phosphoric este..."	7	1	0.77	"0.0828"
"23"	"GO:0009055"	"electron carrier activity"	37	7	4.06	"0.0851"
"24"	"GO:0016879"	"ligase activity, forming carbon-nitrogen..."	67	6	7.35	"0.0856"
"25"	"GO:0036094"	"small molecule binding"	778	90	85.35	"0.0863"
"26"	"GO:0004175"	"endopeptidase activity"	72	5	7.9	"0.0915"
"27"	"GO:0015926"	"glucosidase activity"	53	8	5.81	"0.0966"
"28"	"GO:0015300"	"solute:solute antiporter activity"	5	0	0.55	"0.1029"
"29"	"GO:0015298"	"solute:cation antiporter activity"	5	0	0.55	"0.1029"
"30"	"GO:0015299"	"solute:hydrogen antiporter activity"	5	0	0.55	"0.1029"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.weight01"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	27	12.62	"0.0019"
"2"	"GO:0003746"	"translation elongation factor activity"	7	3	0.77	"0.0020"
"3"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	3	0.66	"0.0082"
"4"	"GO:0016614"	"oxidoreductase activity, acting on CH-OH..."	59	5	6.47	"0.0132"
"5"	"GO:0004622"	"lysophospholipase activity"	5	3	0.55	"0.0135"
"6"	"GO:0016408"	"C-acyltransferase activity"	12	3	1.32	"0.0247"
"7"	"GO:0016860"	"intramolecular oxidoreductase activity"	22	4	2.41	"0.0320"
"8"	"GO:0004579"	"dolichyl-diphosphooligosaccharide-protei..."	5	2	0.55	"0.0347"
"9"	"GO:0004812"	"aminoacyl-tRNA ligase activity"	38	8	4.17	"0.0363"
"10"	"GO:0004339"	"glucan 1,4-alpha-glucosidase activity"	48	8	5.27	"0.0366"
