"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0016874"	"ligase activity"	126	9	6.97	"0.0014"
"2"	"GO:0003735"	"structural constituent of ribosome"	115	20	6.37	"0.0016"
"3"	"GO:0003746"	"translation elongation factor activity"	7	3	0.39	"0.0016"
"4"	"GO:0005198"	"structural molecule activity"	143	21	7.92	"0.0017"
"5"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	0	0.33	"0.0090"
"6"	"GO:0004622"	"lysophospholipase activity"	5	1	0.28	"0.0159"
"7"	"GO:0016408"	"C-acyltransferase activity"	12	1	0.66	"0.0235"
"8"	"GO:0004812"	"aminoacyl-tRNA ligase activity"	38	4	2.1	"0.0264"
"9"	"GO:0016875"	"ligase activity, forming carbon-oxygen b..."	38	4	2.1	"0.0264"
"10"	"GO:0016876"	"ligase activity, forming aminoacyl-tRNA ..."	38	4	2.1	"0.0264"
"11"	"GO:0004339"	"glucan 1,4-alpha-glucosidase activity"	48	2	2.66	"0.0292"
"12"	"GO:0008408"	"3'-5' exonuclease activity"	16	0	0.89	"0.0360"
"13"	"GO:0016780"	"phosphotransferase activity, for other s..."	7	0	0.39	"0.0388"
"14"	"GO:0004579"	"dolichyl-diphosphooligosaccharide-protei..."	5	0	0.28	"0.0397"
"15"	"GO:0017169"	"CDP-alcohol phosphatidyltransferase acti..."	5	0	0.28	"0.0400"
"16"	"GO:0004532"	"exoribonuclease activity"	15	0	0.83	"0.0520"
"17"	"GO:0016896"	"exoribonuclease activity, producing 5'-p..."	15	0	0.83	"0.0520"
"18"	"GO:0005085"	"guanyl-nucleotide exchange factor activi..."	20	0	1.11	"0.0607"
"19"	"GO:0016886"	"ligase activity, forming phosphoric este..."	7	0	0.39	"0.0639"
"20"	"GO:0020037"	"heme binding"	27	1	1.49	"0.0676"
"21"	"GO:0046906"	"tetrapyrrole binding"	27	1	1.49	"0.0676"
"22"	"GO:0015926"	"glucosidase activity"	53	2	2.93	"0.0740"
