"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0006412"	"translation"	229	26	12.24	"2.1e-06"
"2"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	361	35	19.29	"0.00013"
"3"	"GO:0009059"	"macromolecule biosynthetic process"	365	35	19.5	"0.00029"
"4"	"GO:0044267"	"cellular protein metabolic process"	548	42	29.28	"0.00035"
"5"	"GO:0006414"	"translational elongation"	10	2	0.53	"0.00060"
"6"	"GO:0044249"	"cellular biosynthetic process"	531	45	28.37	"0.00066"
"7"	"GO:0009058"	"biosynthetic process"	739	58	39.49	"0.00097"
"8"	"GO:0010467"	"gene expression"	386	35	20.63	"0.00123"
"9"	"GO:0044237"	"cellular metabolic process"	1377	90	73.58	"0.00235"
"10"	"GO:0006091"	"generation of precursor metabolites and ..."	94	11	5.02	"0.00236"
"11"	"GO:0042180"	"cellular ketone metabolic process"	143	16	7.64	"0.00288"
"12"	"GO:0006082"	"organic acid metabolic process"	140	16	7.48	"0.00291"
"13"	"GO:0019752"	"carboxylic acid metabolic process"	140	16	7.48	"0.00291"
"14"	"GO:0043436"	"oxoacid metabolic process"	140	16	7.48	"0.00291"
"15"	"GO:0019538"	"protein metabolic process"	687	46	36.71	"0.00936"
"16"	"GO:0006612"	"protein targeting to membrane"	8	2	0.43	"0.01564"
"17"	"GO:0006119"	"oxidative phosphorylation"	5	0	0.27	"0.01567"
"18"	"GO:0022900"	"electron transport chain"	5	0	0.27	"0.01567"
"19"	"GO:0022904"	"respiratory electron transport chain"	5	0	0.27	"0.01567"
"20"	"GO:0042773"	"ATP synthesis coupled electron transport"	5	0	0.27	"0.01567"
"21"	"GO:0032787"	"monocarboxylic acid metabolic process"	12	3	0.64	"0.01589"
"22"	"GO:0009628"	"response to abiotic stimulus"	20	4	1.07	"0.01605"
"23"	"GO:0009987"	"cellular process"	1684	101	89.98	"0.01896"
"24"	"GO:0033365"	"protein localization to organelle"	19	3	1.02	"0.02239"
"25"	"GO:0006520"	"cellular amino acid metabolic process"	119	11	6.36	"0.02926"
"26"	"GO:0044281"	"small molecule metabolic process"	273	26	14.59	"0.03687"
"27"	"GO:0006913"	"nucleocytoplasmic transport"	20	3	1.07	"0.03691"
"28"	"GO:0051169"	"nuclear transport"	20	3	1.07	"0.03691"
"29"	"GO:0007031"	"peroxisome organization"	7	0	0.37	"0.03788"
"30"	"GO:0072594"	"establishment of protein localization to..."	9	2	0.48	"0.03792"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0006412"	"translation"	229	26	12.24	"4.9e-05"
"2"	"GO:0006414"	"translational elongation"	10	2	0.53	"0.0006"
"3"	"GO:0006091"	"generation of precursor metabolites and ..."	94	11	5.02	"0.0024"
"4"	"GO:0019752"	"carboxylic acid metabolic process"	140	16	7.48	"0.0029"
"5"	"GO:0006612"	"protein targeting to membrane"	8	2	0.43	"0.0156"
