"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0005737"	"cytoplasm"	804	64	45.53	"6.3e-08"
"2"	"GO:0044444"	"cytoplasmic part"	566	52	32.06	"5.0e-07"
"3"	"GO:0032991"	"macromolecular complex"	719	64	40.72	"0.00014"
"4"	"GO:0005840"	"ribosome"	182	22	10.31	"0.00017"
"5"	"GO:0030529"	"ribonucleoprotein complex"	215	24	12.18	"0.00028"
"6"	"GO:0005622"	"intracellular"	1513	96	85.69	"0.00052"
"7"	"GO:0044464"	"cell part"	1523	96	86.26	"0.00140"
"8"	"GO:0005739"	"mitochondrion"	166	15	9.4	"0.00146"
"9"	"GO:0044424"	"intracellular part"	1297	86	73.46	"0.00151"
"10"	"GO:0044445"	"cytosolic part"	12	2	0.68	"0.00164"
"11"	"GO:0005758"	"mitochondrial intermembrane space"	5	2	0.28	"0.00369"
"12"	"GO:0031970"	"organelle envelope lumen"	5	2	0.28	"0.00369"
"13"	"GO:0044391"	"ribosomal subunit"	14	4	0.79	"0.00518"
"14"	"GO:0005829"	"cytosol"	50	5	2.83	"0.00735"
"15"	"GO:0005623"	"cell"	1768	102	100.13	"0.02939"
"16"	"GO:0005778"	"peroxisomal membrane"	5	0	0.28	"0.04383"
"17"	"GO:0031903"	"microbody membrane"	5	0	0.28	"0.04383"
"18"	"GO:0044438"	"microbody part"	5	0	0.28	"0.04383"
"19"	"GO:0044439"	"peroxisomal part"	5	0	0.28	"0.04383"
"20"	"GO:0005777"	"peroxisome"	17	2	0.96	"0.04403"
"21"	"GO:0042579"	"microbody"	17	2	0.96	"0.04403"
"22"	"GO:0015935"	"small ribosomal subunit"	8	3	0.45	"0.05075"
"23"	"GO:0043228"	"non-membrane-bounded organelle"	396	32	22.43	"0.05888"
"24"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	32	22.43	"0.05888"
"25"	"GO:0043226"	"organelle"	1052	67	59.58	"0.07016"
"26"	"GO:0005783"	"endoplasmic reticulum"	79	4	4.47	"0.07127"
"27"	"GO:0015934"	"large ribosomal subunit"	6	1	0.34	"0.08209"
"28"	"GO:0043229"	"intracellular organelle"	1038	66	58.79	"0.11185"
"29"	"GO:0043234"	"protein complex"	511	38	28.94	"0.11691"
"30"	"GO:0016023"	"cytoplasmic membrane-bounded vesicle"	20	1	1.13	"0.15771"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0005840"	"ribosome"	182	22	10.31	"0.00062"
"2"	"GO:0044445"	"cytosolic part"	12	2	0.68	"0.00164"
"3"	"GO:0005737"	"cytoplasm"	804	64	45.53	"0.00187"
"4"	"GO:0005758"	"mitochondrial intermembrane space"	5	2	0.28	"0.00369"
"5"	"GO:0044391"	"ribosomal subunit"	14	4	0.79	"0.00518"
"6"	"GO:0005739"	"mitochondrion"	166	15	9.4	"0.00695"
"7"	"GO:0032991"	"macromolecular complex"	719	64	40.72	"0.00751"
"8"	"GO:0044444"	"cytoplasmic part"	566	52	32.06	"0.01846"
"9"	"GO:0031903"	"microbody membrane"	5	0	0.28	"0.04383"
"10"	"GO:0005778"	"peroxisomal membrane"	5	0	0.28	"0.04383"
"11"	"GO:0044438"	"microbody part"	5	0	0.28	"0.04383"
"12"	"GO:0044439"	"peroxisomal part"	5	0	0.28	"0.04383"
"13"	"GO:0005777"	"peroxisome"	17	2	0.96	"0.04403"
"14"	"GO:0042579"	"microbody"	17	2	0.96	"0.04403"
"15"	"GO:0005829"	"cytosol"	50	5	2.83	"0.05054"
"16"	"GO:0015935"	"small ribosomal subunit"	8	3	0.45	"0.05075"
"17"	"GO:0005783"	"endoplasmic reticulum"	79	4	4.47	"0.07127"
"18"	"GO:0015934"	"large ribosomal subunit"	6	1	0.34	"0.08209"
