"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	42	19.1	"7.3e-07"
"2"	"GO:0005198"	"structural molecule activity"	143	46	23.75	"2.7e-05"
"3"	"GO:0003954"	"NADH dehydrogenase activity"	8	4	1.33	"0.0059"
"4"	"GO:0035639"	"purine ribonucleoside triphosphate bindi..."	449	80	74.56	"0.0059"
"5"	"GO:0032553"	"ribonucleotide binding"	450	80	74.72	"0.0067"
"6"	"GO:0032555"	"purine ribonucleotide binding"	450	80	74.72	"0.0067"
"7"	"GO:0017076"	"purine nucleotide binding"	451	80	74.89	"0.0075"
"8"	"GO:0003924"	"GTPase activity"	33	12	5.48	"0.0080"
"9"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	4	1.16	"0.0084"
"10"	"GO:0050136"	"NADH dehydrogenase (quinone) activity"	7	4	1.16	"0.0084"
"11"	"GO:0003746"	"translation elongation factor activity"	7	5	1.16	"0.0085"
"12"	"GO:0000166"	"nucleotide binding"	742	130	123.21	"0.0137"
"13"	"GO:0036094"	"small molecule binding"	778	135	129.19	"0.0168"
"14"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	4	1	"0.0199"
"15"	"GO:0004579"	"dolichyl-diphosphooligosaccharide-protei..."	5	3	0.83	"0.0216"
"16"	"GO:0005524"	"ATP binding"	386	66	64.1	"0.0233"
"17"	"GO:0032559"	"adenyl ribonucleotide binding"	387	66	64.26	"0.0260"
"18"	"GO:0030554"	"adenyl nucleotide binding"	388	66	64.43	"0.0290"
"19"	"GO:0016614"	"oxidoreductase activity, acting on CH-OH..."	59	13	9.8	"0.0325"
"20"	"GO:0016886"	"ligase activity, forming phosphoric este..."	7	2	1.16	"0.0343"
"21"	"GO:0008812"	"choline dehydrogenase activity"	5	1	0.83	"0.0411"
"22"	"GO:0000175"	"3'-5'-exoribonuclease activity"	14	2	2.32	"0.0512"
"23"	"GO:0033765"	"steroid dehydrogenase activity, acting o..."	5	1	0.83	"0.0626"
"24"	"GO:0016417"	"S-acyltransferase activity"	11	4	1.83	"0.0642"
"25"	"GO:0005216"	"ion channel activity"	9	2	1.49	"0.0644"
"26"	"GO:0015267"	"channel activity"	9	2	1.49	"0.0644"
"27"	"GO:0022803"	"passive transmembrane transporter activi..."	9	2	1.49	"0.0644"
"28"	"GO:0022838"	"substrate-specific channel activity"	9	2	1.49	"0.0644"
"29"	"GO:0010181"	"FMN binding"	9	0	1.49	"0.0665"
"30"	"GO:0019202"	"amino acid kinase activity"	6	1	1	"0.0675"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	42	19.1	"7.3e-07"
"2"	"GO:0035639"	"purine ribonucleoside triphosphate bindi..."	449	80	74.56	"0.0059"
