"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	15	5.87	"1.6e-05"
"2"	"GO:0005198"	"structural molecule activity"	143	16	7.3	"0.00020"
"3"	"GO:0035639"	"purine ribonucleoside triphosphate bindi..."	449	27	22.91	"0.00061"
"4"	"GO:0032553"	"ribonucleotide binding"	450	27	22.96	"0.00071"
"5"	"GO:0032555"	"purine ribonucleotide binding"	450	27	22.96	"0.00071"
"6"	"GO:0017076"	"purine nucleotide binding"	451	27	23.01	"0.00082"
"7"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	0	0.36	"0.00252"
"8"	"GO:0050136"	"NADH dehydrogenase (quinone) activity"	7	0	0.36	"0.00252"
"9"	"GO:0005524"	"ATP binding"	386	22	19.69	"0.00462"
"10"	"GO:0003924"	"GTPase activity"	33	5	1.68	"0.00517"
"11"	"GO:0032559"	"adenyl ribonucleotide binding"	387	22	19.74	"0.00527"
"12"	"GO:0030554"	"adenyl nucleotide binding"	388	22	19.79	"0.00601"
"13"	"GO:0000166"	"nucleotide binding"	742	46	37.85	"0.00614"
"14"	"GO:0036094"	"small molecule binding"	778	47	39.69	"0.00637"
"15"	"GO:0004579"	"dolichyl-diphosphooligosaccharide-protei..."	5	1	0.26	"0.00807"
"16"	"GO:0003954"	"NADH dehydrogenase activity"	8	0	0.41	"0.01132"
"17"	"GO:0003746"	"translation elongation factor activity"	7	2	0.36	"0.01607"
"18"	"GO:0016614"	"oxidoreductase activity, acting on CH-OH..."	59	4	3.01	"0.01978"
"19"	"GO:0000175"	"3'-5'-exoribonuclease activity"	14	0	0.71	"0.01997"
"20"	"GO:0008812"	"choline dehydrogenase activity"	5	0	0.26	"0.02087"
"21"	"GO:0016886"	"ligase activity, forming phosphoric este..."	7	0	0.36	"0.02641"
"22"	"GO:0008408"	"3'-5' exonuclease activity"	16	0	0.82	"0.03117"
"23"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	2	0.31	"0.04175"
"24"	"GO:0010181"	"FMN binding"	9	0	0.46	"0.04566"
"25"	"GO:0016646"	"oxidoreductase activity, acting on the C..."	8	0	0.41	"0.04882"
"26"	"GO:0004532"	"exoribonuclease activity"	15	0	0.77	"0.04941"
"27"	"GO:0016896"	"exoribonuclease activity, producing 5'-p..."	15	0	0.77	"0.04941"
"28"	"GO:0016740"	"transferase activity"	548	27	27.96	"0.05405"
"29"	"GO:0022892"	"substrate-specific transporter activity"	186	7	9.49	"0.05507"
"30"	"GO:0016773"	"phosphotransferase activity, alcohol gro..."	151	11	7.7	"0.05965"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	15	5.87	"1.6e-05"
