"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0006412"	"translation"	229	130	79.77	"5.5e-12"
"2"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	361	172	125.75	"9.1e-09"
"3"	"GO:0009059"	"macromolecule biosynthetic process"	365	174	127.14	"1.1e-08"
"4"	"GO:0044249"	"cellular biosynthetic process"	531	236	184.96	"6.7e-08"
"5"	"GO:0009058"	"biosynthetic process"	739	312	257.42	"6.6e-07"
"6"	"GO:0010467"	"gene expression"	386	176	134.46	"7.4e-07"
"7"	"GO:0044267"	"cellular protein metabolic process"	548	239	190.89	"1.5e-06"
"8"	"GO:0044237"	"cellular metabolic process"	1377	532	479.65	"7.4e-06"
"9"	"GO:0006414"	"translational elongation"	10	9	3.48	"9.1e-06"
"10"	"GO:0009987"	"cellular process"	1684	628	586.59	"0.00028"
"11"	"GO:0019538"	"protein metabolic process"	687	280	239.3	"0.00034"
"12"	"GO:0006091"	"generation of precursor metabolites and ..."	94	50	32.74	"0.00036"
"13"	"GO:0044260"	"cellular macromolecule metabolic process"	848	332	295.39	"0.00073"
"14"	"GO:0044238"	"primary metabolic process"	1526	572	531.56	"0.00208"
"15"	"GO:0043170"	"macromolecule metabolic process"	992	375	345.55	"0.00791"
"16"	"GO:0006220"	"pyrimidine nucleotide metabolic process"	7	3	2.44	"0.01688"
"17"	"GO:0006082"	"organic acid metabolic process"	140	63	48.77	"0.01768"
"18"	"GO:0019752"	"carboxylic acid metabolic process"	140	63	48.77	"0.01768"
"19"	"GO:0043436"	"oxoacid metabolic process"	140	63	48.77	"0.01768"
"20"	"GO:0019751"	"polyol metabolic process"	5	4	1.74	"0.01941"
"21"	"GO:0009081"	"branched chain family amino acid metabol..."	8	4	2.79	"0.01997"
"22"	"GO:0008610"	"lipid biosynthetic process"	33	16	11.49	"0.02470"
"23"	"GO:0006221"	"pyrimidine nucleotide biosynthetic proce..."	6	3	2.09	"0.03029"
"24"	"GO:0009082"	"branched chain family amino acid biosynt..."	7	4	2.44	"0.03261"
"25"	"GO:0042180"	"cellular ketone metabolic process"	143	63	49.81	"0.03309"
"26"	"GO:0006996"	"organelle organization"	169	70	58.87	"0.03422"
"27"	"GO:0006418"	"tRNA aminoacylation for protein translat..."	36	19	12.54	"0.03429"
"28"	"GO:0043038"	"amino acid activation"	36	19	12.54	"0.03429"
"29"	"GO:0043039"	"tRNA aminoacylation"	36	19	12.54	"0.03429"
"30"	"GO:0071842"	"cellular component organization at cellu..."	190	79	66.18	"0.03723"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0006412"	"translation"	229	130	79.77	"3.3e-10"
"2"	"GO:0006414"	"translational elongation"	10	9	3.48	"9.1e-06"
"3"	"GO:0006091"	"generation of precursor metabolites and ..."	94	50	32.74	"0.00036"
"4"	"GO:0006220"	"pyrimidine nucleotide metabolic process"	7	3	2.44	"0.01688"
"5"	"GO:0006082"	"organic acid metabolic process"	140	63	48.77	"0.01768"
"6"	"GO:0043436"	"oxoacid metabolic process"	140	63	48.77	"0.01768"
"7"	"GO:0019752"	"carboxylic acid metabolic process"	140	63	48.77	"0.01768"
"8"	"GO:0019751"	"polyol metabolic process"	5	4	1.74	"0.01941"
"9"	"GO:0009081"	"branched chain family amino acid metabol..."	8	4	2.79	"0.01997"
"10"	"GO:0008610"	"lipid biosynthetic process"	33	16	11.49	"0.02470"
"11"	"GO:0006221"	"pyrimidine nucleotide biosynthetic proce..."	6	3	2.09	"0.03029"
"12"	"GO:0009082"	"branched chain family amino acid biosynt..."	7	4	2.44	"0.03261"
"13"	"GO:0042180"	"cellular ketone metabolic process"	143	63	49.81	"0.03309"
"14"	"GO:0006996"	"organelle organization"	169	70	58.87	"0.03422"
"15"	"GO:0043038"	"amino acid activation"	36	19	12.54	"0.03429"
"16"	"GO:0043039"	"tRNA aminoacylation"	36	19	12.54	"0.03429"
"17"	"GO:0006418"	"tRNA aminoacylation for protein translat..."	36	19	12.54	"0.03429"
"18"	"GO:0071842"	"cellular component organization at cellu..."	190	79	66.18	"0.03723"
"19"	"GO:0006352"	"transcription initiation, DNA-dependent"	16	8	5.57	"0.03726"
"20"	"GO:0006520"	"cellular amino acid metabolic process"	119	53	41.45	"0.03954"
