"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0006412"	"translation"	229	45	14.9	"4.6e-12"
"2"	"GO:0044249"	"cellular biosynthetic process"	531	61	34.56	"6.3e-09"
"3"	"GO:0009059"	"macromolecule biosynthetic process"	365	52	23.76	"7.8e-09"
"4"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	361	52	23.5	"8.2e-09"
"5"	"GO:0009058"	"biosynthetic process"	739	80	48.1	"6.3e-08"
"6"	"GO:0010467"	"gene expression"	386	51	25.12	"2.7e-07"
"7"	"GO:0044267"	"cellular protein metabolic process"	548	59	35.67	"5.8e-06"
"8"	"GO:0006414"	"translational elongation"	10	6	0.65	"7.7e-06"
"9"	"GO:0044237"	"cellular metabolic process"	1377	120	89.62	"1.1e-05"
"10"	"GO:0009987"	"cellular process"	1684	130	109.61	"0.00013"
"11"	"GO:0044260"	"cellular macromolecule metabolic process"	848	80	55.19	"0.00038"
"12"	"GO:0019538"	"protein metabolic process"	687	63	44.71	"0.00061"
"13"	"GO:0006091"	"generation of precursor metabolites and ..."	94	16	6.12	"0.00070"
"14"	"GO:0044238"	"primary metabolic process"	1526	121	99.32	"0.00122"
"15"	"GO:0043170"	"macromolecule metabolic process"	992	84	64.57	"0.00301"
"16"	"GO:0006082"	"organic acid metabolic process"	140	10	9.11	"0.01202"
"17"	"GO:0019752"	"carboxylic acid metabolic process"	140	10	9.11	"0.01202"
"18"	"GO:0043436"	"oxoacid metabolic process"	140	10	9.11	"0.01202"
"19"	"GO:0008610"	"lipid biosynthetic process"	33	3	2.15	"0.01360"
"20"	"GO:0006220"	"pyrimidine nucleotide metabolic process"	7	2	0.46	"0.01484"
"21"	"GO:0006720"	"isoprenoid metabolic process"	9	1	0.59	"0.01873"
"22"	"GO:0008299"	"isoprenoid biosynthetic process"	9	1	0.59	"0.01873"
"23"	"GO:0006221"	"pyrimidine nucleotide biosynthetic proce..."	6	2	0.39	"0.02095"
"24"	"GO:0042180"	"cellular ketone metabolic process"	143	10	9.31	"0.02580"
"25"	"GO:0008152"	"metabolic process"	1957	140	127.37	"0.02692"
