"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0005840"	"ribosome"	182	108	69.63	"1.4e-10"
"2"	"GO:0005737"	"cytoplasm"	804	370	307.58	"5.0e-10"
"3"	"GO:0030529"	"ribonucleoprotein complex"	215	122	82.25	"6.4e-10"
"4"	"GO:0044444"	"cytoplasmic part"	566	267	216.53	"1.5e-09"
"5"	"GO:0043228"	"non-membrane-bounded organelle"	396	190	151.5	"6.3e-07"
"6"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	190	151.5	"6.3e-07"
"7"	"GO:0032991"	"macromolecular complex"	719	313	275.06	"4.8e-05"
"8"	"GO:0044424"	"intracellular part"	1297	524	496.19	"0.00015"
"9"	"GO:0005739"	"mitochondrion"	166	80	63.51	"0.00045"
"10"	"GO:0043229"	"intracellular organelle"	1038	417	397.1	"0.00117"
"11"	"GO:0043226"	"organelle"	1052	426	402.46	"0.00149"
"12"	"GO:0005622"	"intracellular"	1513	599	578.82	"0.00319"
"13"	"GO:0044464"	"cell part"	1523	601	582.65	"0.00610"
"14"	"GO:0005815"	"microtubule organizing center"	9	6	3.44	"0.01669"
"15"	"GO:0044391"	"ribosomal subunit"	14	10	5.36	"0.01861"
"16"	"GO:0005667"	"transcription factor complex"	12	6	4.59	"0.04154"
"17"	"GO:0015935"	"small ribosomal subunit"	8	6	3.06	"0.04213"
"18"	"GO:0005740"	"mitochondrial envelope"	31	15	11.86	"0.05910"
"19"	"GO:0005623"	"cell"	1768	681	676.38	"0.05980"
"20"	"GO:0044451"	"nucleoplasm part"	14	7	5.36	"0.06318"
"21"	"GO:0005777"	"peroxisome"	17	10	6.5	"0.06570"
"22"	"GO:0042579"	"microbody"	17	10	6.5	"0.06570"
"23"	"GO:0016591"	"DNA-directed RNA polymerase II, holoenzy..."	9	5	3.44	"0.06767"
"24"	"GO:0000786"	"nucleosome"	11	6	4.21	"0.08830"
"25"	"GO:0005886"	"plasma membrane"	26	14	9.95	"0.09093"
"26"	"GO:0031966"	"mitochondrial membrane"	24	12	9.18	"0.09809"
"27"	"GO:0044429"	"mitochondrial part"	39	17	14.92	"0.09880"
"28"	"GO:0000785"	"chromatin"	14	7	5.36	"0.09996"
"29"	"GO:0015934"	"large ribosomal subunit"	6	4	2.3	"0.10966"
"30"	"GO:0016469"	"proton-transporting two-sector ATPase co..."	30	14	11.48	"0.11125"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0005840"	"ribosome"	182	108	69.63	"1.4e-10"
"2"	"GO:0005739"	"mitochondrion"	166	80	63.51	"0.00045"
"3"	"GO:0005737"	"cytoplasm"	804	370	307.58	"0.00310"
"4"	"GO:0005815"	"microtubule organizing center"	9	6	3.44	"0.01669"
"5"	"GO:0044391"	"ribosomal subunit"	14	10	5.36	"0.01861"
"6"	"GO:0005667"	"transcription factor complex"	12	6	4.59	"0.04154"
"7"	"GO:0015935"	"small ribosomal subunit"	8	6	3.06	"0.04213"
"8"	"GO:0005740"	"mitochondrial envelope"	31	15	11.86	"0.05910"
"9"	"GO:0044451"	"nucleoplasm part"	14	7	5.36	"0.06318"
"10"	"GO:0005777"	"peroxisome"	17	10	6.5	"0.06570"
"11"	"GO:0042579"	"microbody"	17	10	6.5	"0.06570"
"12"	"GO:0016591"	"DNA-directed RNA polymerase II, holoenzy..."	9	5	3.44	"0.06767"
"13"	"GO:0044444"	"cytoplasmic part"	566	267	216.53	"0.07669"
"14"	"GO:0032991"	"macromolecular complex"	719	313	275.06	"0.08062"
"15"	"GO:0000786"	"nucleosome"	11	6	4.21	"0.08830"
"16"	"GO:0005886"	"plasma membrane"	26	14	9.95	"0.09093"
"17"	"GO:0031966"	"mitochondrial membrane"	24	12	9.18	"0.09809"
"18"	"GO:0044429"	"mitochondrial part"	39	17	14.92	"0.09880"
"19"	"GO:0000785"	"chromatin"	14	7	5.36	"0.09996"
"20"	"GO:0015934"	"large ribosomal subunit"	6	4	2.3	"0.10966"
"21"	"GO:0016469"	"proton-transporting two-sector ATPase co..."	30	14	11.48	"0.11125"
"22"	"GO:0005623"	"cell"	1768	681	676.38	"0.13368"
"23"	"GO:0032993"	"protein-DNA complex"	12	6	4.59	"0.13921"
"24"	"GO:0071944"	"cell periphery"	34	17	13.01	"0.14402"
