"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	71	38.88	"6.1e-10"
"2"	"GO:0005198"	"structural molecule activity"	143	83	48.35	"8.1e-10"
"3"	"GO:0008135"	"translation factor activity, nucleic aci..."	50	28	16.91	"0.00033"
"4"	"GO:0003746"	"translation elongation factor activity"	7	6	2.37	"0.00055"
"5"	"GO:0005525"	"GTP binding"	65	34	21.98	"0.00150"
"6"	"GO:0019001"	"guanyl nucleotide binding"	65	34	21.98	"0.00150"
"7"	"GO:0032561"	"guanyl ribonucleotide binding"	65	34	21.98	"0.00150"
"8"	"GO:0003723"	"RNA binding"	191	84	64.58	"0.00158"
"9"	"GO:0004693"	"cyclin-dependent protein kinase activity"	7	7	2.37	"0.00159"
"10"	"GO:0003924"	"GTPase activity"	33	20	11.16	"0.00268"
"11"	"GO:0016417"	"S-acyltransferase activity"	11	7	3.72	"0.00811"
"12"	"GO:0035639"	"purine ribonucleoside triphosphate bindi..."	449	168	151.81	"0.01382"
"13"	"GO:0032553"	"ribonucleotide binding"	450	168	152.15	"0.01595"
"14"	"GO:0032555"	"purine ribonucleotide binding"	450	168	152.15	"0.01595"
"15"	"GO:0017076"	"purine nucleotide binding"	451	168	152.49	"0.01836"
"16"	"GO:0016751"	"S-succinyltransferase activity"	8	5	2.7	"0.01913"
"17"	"GO:0019107"	"myristoyltransferase activity"	8	5	2.7	"0.01913"
"18"	"GO:0016411"	"acylglycerol O-acyltransferase activity"	8	5	2.7	"0.02159"
"19"	"GO:0016863"	"intramolecular oxidoreductase activity, ..."	5	4	1.69	"0.02237"
"20"	"GO:0015077"	"monovalent inorganic cation transmembran..."	47	22	15.89	"0.02265"
"21"	"GO:0015078"	"hydrogen ion transmembrane transporter a..."	47	22	15.89	"0.02265"
"22"	"GO:0016419"	"S-malonyltransferase activity"	8	5	2.7	"0.02383"
"23"	"GO:0016420"	"malonyltransferase activity"	8	5	2.7	"0.02383"
"24"	"GO:0019829"	"cation-transporting ATPase activity"	30	13	10.14	"0.02415"
"25"	"GO:0004812"	"aminoacyl-tRNA ligase activity"	38	19	12.85	"0.03242"
"26"	"GO:0016875"	"ligase activity, forming carbon-oxygen b..."	38	19	12.85	"0.03242"
"27"	"GO:0016876"	"ligase activity, forming aminoacyl-tRNA ..."	38	19	12.85	"0.03242"
"28"	"GO:0003676"	"nucleic acid binding"	595	216	201.18	"0.03242"
"29"	"GO:0022890"	"inorganic cation transmembrane transport..."	56	24	18.93	"0.03626"
"30"	"GO:0016748"	"succinyltransferase activity"	9	5	3.04	"0.03708"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	71	38.88	"6.1e-10"
"2"	"GO:0003746"	"translation elongation factor activity"	7	6	2.37	"0.00055"
"3"	"GO:0005525"	"GTP binding"	65	34	21.98	"0.00150"
"4"	"GO:0004693"	"cyclin-dependent protein kinase activity"	7	7	2.37	"0.00159"
"5"	"GO:0008135"	"translation factor activity, nucleic aci..."	50	28	16.91	"0.00243"
"6"	"GO:0003924"	"GTPase activity"	33	20	11.16	"0.00268"
"7"	"GO:0016417"	"S-acyltransferase activity"	11	7	3.72	"0.00811"
"8"	"GO:0019107"	"myristoyltransferase activity"	8	5	2.7	"0.01913"
"9"	"GO:0016751"	"S-succinyltransferase activity"	8	5	2.7	"0.01913"
"10"	"GO:0016411"	"acylglycerol O-acyltransferase activity"	8	5	2.7	"0.02159"
"11"	"GO:0016863"	"intramolecular oxidoreductase activity, ..."	5	4	1.69	"0.02237"
"12"	"GO:0015077"	"monovalent inorganic cation transmembran..."	47	22	15.89	"0.02265"
"13"	"GO:0015078"	"hydrogen ion transmembrane transporter a..."	47	22	15.89	"0.02265"
"14"	"GO:0016420"	"malonyltransferase activity"	8	5	2.7	"0.02383"
"15"	"GO:0016419"	"S-malonyltransferase activity"	8	5	2.7	"0.02383"
"16"	"GO:0019829"	"cation-transporting ATPase activity"	30	13	10.14	"0.02415"
"17"	"GO:0016875"	"ligase activity, forming carbon-oxygen b..."	38	19	12.85	"0.03242"
"18"	"GO:0016876"	"ligase activity, forming aminoacyl-tRNA ..."	38	19	12.85	"0.03242"
