"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	27	6.4	"1.3e-09"
"2"	"GO:0005198"	"structural molecule activity"	143	30	7.96	"1.9e-09"
"3"	"GO:0008135"	"translation factor activity, nucleic aci..."	50	10	2.78	"5.1e-05"
"4"	"GO:0003746"	"translation elongation factor activity"	7	5	0.39	"0.0005"
"5"	"GO:0003723"	"RNA binding"	191	23	10.64	"0.0011"
"6"	"GO:0003924"	"GTPase activity"	33	8	1.84	"0.0015"
"7"	"GO:0004693"	"cyclin-dependent protein kinase activity"	7	1	0.39	"0.0017"
"8"	"GO:0005525"	"GTP binding"	65	8	3.62	"0.0020"
"9"	"GO:0019001"	"guanyl nucleotide binding"	65	8	3.62	"0.0020"
"10"	"GO:0032561"	"guanyl ribonucleotide binding"	65	8	3.62	"0.0020"
"11"	"GO:0016417"	"S-acyltransferase activity"	11	2	0.61	"0.0095"
"12"	"GO:0017076"	"purine nucleotide binding"	451	27	25.11	"0.0168"
"13"	"GO:0035639"	"purine ribonucleoside triphosphate bindi..."	449	27	25	"0.0170"
"14"	"GO:0032553"	"ribonucleotide binding"	450	27	25.06	"0.0195"
"15"	"GO:0032555"	"purine ribonucleotide binding"	450	27	25.06	"0.0195"
"16"	"GO:0016863"	"intramolecular oxidoreductase activity, ..."	5	1	0.28	"0.0213"
"17"	"GO:0016411"	"acylglycerol O-acyltransferase activity"	8	2	0.45	"0.0246"
"18"	"GO:0016751"	"S-succinyltransferase activity"	8	2	0.45	"0.0246"
"19"	"GO:0019107"	"myristoyltransferase activity"	8	2	0.45	"0.0246"
"20"	"GO:0016419"	"S-malonyltransferase activity"	8	2	0.45	"0.0276"
"21"	"GO:0016420"	"malonyltransferase activity"	8	2	0.45	"0.0276"
"22"	"GO:0004812"	"aminoacyl-tRNA ligase activity"	38	3	2.12	"0.0317"
"23"	"GO:0016875"	"ligase activity, forming carbon-oxygen b..."	38	3	2.12	"0.0317"
"24"	"GO:0016876"	"ligase activity, forming aminoacyl-tRNA ..."	38	3	2.12	"0.0317"
