"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0006091"	"generation of precursor metabolites and ..."	94	3	0.98	"0.0021"
"2"	"GO:0009058"	"biosynthetic process"	739	8	7.72	"0.0049"
"3"	"GO:0008610"	"lipid biosynthetic process"	33	0	0.34	"0.0113"
"4"	"GO:0006119"	"oxidative phosphorylation"	5	0	0.05	"0.0132"
"5"	"GO:0022900"	"electron transport chain"	5	0	0.05	"0.0132"
"6"	"GO:0022904"	"respiratory electron transport chain"	5	0	0.05	"0.0132"
"7"	"GO:0042773"	"ATP synthesis coupled electron transport"	5	0	0.05	"0.0132"
"8"	"GO:0006811"	"ion transport"	102	3	1.07	"0.0138"
"9"	"GO:0055114"	"oxidation-reduction process"	18	0	0.19	"0.0197"
"10"	"GO:0044255"	"cellular lipid metabolic process"	43	0	0.45	"0.0272"
"11"	"GO:0019637"	"organophosphate metabolic process"	26	0	0.27	"0.0277"
"12"	"GO:0006644"	"phospholipid metabolic process"	24	0	0.25	"0.0293"
"13"	"GO:0048193"	"Golgi vesicle transport"	10	0	0.1	"0.0388"
"14"	"GO:0008152"	"metabolic process"	1957	24	20.44	"0.0407"
"15"	"GO:0015980"	"energy derivation by oxidation of organi..."	13	0	0.14	"0.0470"
"16"	"GO:0045333"	"cellular respiration"	13	0	0.14	"0.0470"
"17"	"GO:0006888"	"ER to Golgi vesicle-mediated transport"	6	0	0.06	"0.0481"
"18"	"GO:0008654"	"phospholipid biosynthetic process"	14	0	0.15	"0.0547"
"19"	"GO:0008283"	"cell proliferation"	9	0	0.09	"0.0607"
"20"	"GO:0044237"	"cellular metabolic process"	1377	19	14.38	"0.0608"
"21"	"GO:0006865"	"amino acid transport"	8	0	0.08	"0.0647"
"22"	"GO:0015837"	"amine transport"	8	0	0.08	"0.0647"
"23"	"GO:0071705"	"nitrogen compound transport"	8	0	0.08	"0.0647"
"24"	"GO:0009987"	"cellular process"	1684	21	17.59	"0.0738"
"25"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	361	6	3.77	"0.0774"
"26"	"GO:0006261"	"DNA-dependent DNA replication"	12	0	0.13	"0.0782"
"27"	"GO:0005996"	"monosaccharide metabolic process"	26	0	0.27	"0.0789"
"28"	"GO:0044249"	"cellular biosynthetic process"	531	8	5.55	"0.0846"
"29"	"GO:0009059"	"macromolecule biosynthetic process"	365	6	3.81	"0.0884"
"30"	"GO:0006913"	"nucleocytoplasmic transport"	20	1	0.21	"0.0901"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0006091"	"generation of precursor metabolites and ..."	94	3	0.98	"0.0021"
"2"	"GO:0009058"	"biosynthetic process"	739	8	7.72	"0.0049"
"3"	"GO:0008610"	"lipid biosynthetic process"	33	0	0.34	"0.0113"
"4"	"GO:0042773"	"ATP synthesis coupled electron transport"	5	0	0.05	"0.0132"
"5"	"GO:0006119"	"oxidative phosphorylation"	5	0	0.05	"0.0132"
"6"	"GO:0022900"	"electron transport chain"	5	0	0.05	"0.0132"
"7"	"GO:0022904"	"respiratory electron transport chain"	5	0	0.05	"0.0132"
"8"	"GO:0006811"	"ion transport"	102	3	1.07	"0.0138"
"9"	"GO:0055114"	"oxidation-reduction process"	18	0	0.19	"0.0197"
"10"	"GO:0044255"	"cellular lipid metabolic process"	43	0	0.45	"0.0272"
"11"	"GO:0019637"	"organophosphate metabolic process"	26	0	0.27	"0.0277"
"12"	"GO:0006644"	"phospholipid metabolic process"	24	0	0.25	"0.0293"
"13"	"GO:0048193"	"Golgi vesicle transport"	10	0	0.1	"0.0388"
