"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0008610"	"lipid biosynthetic process"	33	0	0.99	"0.008"
"2"	"GO:0006091"	"generation of precursor metabolites and ..."	94	6	2.83	"0.010"
"3"	"GO:0006644"	"phospholipid metabolic process"	24	1	0.72	"0.015"
"4"	"GO:0009058"	"biosynthetic process"	739	26	22.27	"0.018"
"5"	"GO:0019637"	"organophosphate metabolic process"	26	1	0.78	"0.019"
"6"	"GO:0055114"	"oxidation-reduction process"	18	0	0.54	"0.023"
"7"	"GO:0008654"	"phospholipid biosynthetic process"	14	0	0.42	"0.027"
"8"	"GO:0006119"	"oxidative phosphorylation"	5	0	0.15	"0.027"
"9"	"GO:0022900"	"electron transport chain"	5	0	0.15	"0.027"
"10"	"GO:0022904"	"respiratory electron transport chain"	5	0	0.15	"0.027"
"11"	"GO:0042773"	"ATP synthesis coupled electron transport"	5	0	0.15	"0.027"
"12"	"GO:0008152"	"metabolic process"	1957	67	58.97	"0.029"
"13"	"GO:0009081"	"branched chain family amino acid metabol..."	8	2	0.24	"0.032"
"14"	"GO:0006811"	"ion transport"	102	5	3.07	"0.033"
"15"	"GO:0015980"	"energy derivation by oxidation of organi..."	13	0	0.39	"0.043"
"16"	"GO:0045333"	"cellular respiration"	13	0	0.39	"0.043"
"17"	"GO:0009987"	"cellular process"	1684	57	50.74	"0.046"
"18"	"GO:0044255"	"cellular lipid metabolic process"	43	2	1.3	"0.046"
"19"	"GO:0006650"	"glycerophospholipid metabolic process"	9	1	0.27	"0.051"
"20"	"GO:0046486"	"glycerolipid metabolic process"	9	1	0.27	"0.051"
"21"	"GO:0006261"	"DNA-dependent DNA replication"	12	0	0.36	"0.055"
"22"	"GO:0048193"	"Golgi vesicle transport"	10	0	0.3	"0.056"
"23"	"GO:0009082"	"branched chain family amino acid biosynt..."	7	2	0.21	"0.062"
"24"	"GO:0006888"	"ER to Golgi vesicle-mediated transport"	6	0	0.18	"0.063"
"25"	"GO:0006066"	"alcohol metabolic process"	38	2	1.15	"0.080"
"26"	"GO:0006865"	"amino acid transport"	8	0	0.24	"0.082"
"27"	"GO:0015837"	"amine transport"	8	0	0.24	"0.082"
"28"	"GO:0071705"	"nitrogen compound transport"	8	0	0.24	"0.082"
"29"	"GO:0006525"	"arginine metabolic process"	7	0	0.21	"0.082"
"30"	"GO:0005996"	"monosaccharide metabolic process"	26	2	0.78	"0.083"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0008610"	"lipid biosynthetic process"	33	0	0.99	"0.008"
"2"	"GO:0006091"	"generation of precursor metabolites and ..."	94	6	2.83	"0.010"
"3"	"GO:0006644"	"phospholipid metabolic process"	24	1	0.72	"0.015"
"4"	"GO:0019637"	"organophosphate metabolic process"	26	1	0.78	"0.019"
"5"	"GO:0055114"	"oxidation-reduction process"	18	0	0.54	"0.023"
"6"	"GO:0008654"	"phospholipid biosynthetic process"	14	0	0.42	"0.027"
"7"	"GO:0042773"	"ATP synthesis coupled electron transport"	5	0	0.15	"0.027"
"8"	"GO:0006119"	"oxidative phosphorylation"	5	0	0.15	"0.027"
"9"	"GO:0022900"	"electron transport chain"	5	0	0.15	"0.027"
"10"	"GO:0022904"	"respiratory electron transport chain"	5	0	0.15	"0.027"
"11"	"GO:0009081"	"branched chain family amino acid metabol..."	8	2	0.24	"0.032"
"12"	"GO:0006811"	"ion transport"	102	5	3.07	"0.033"
"13"	"GO:0045333"	"cellular respiration"	13	0	0.39	"0.043"
"14"	"GO:0015980"	"energy derivation by oxidation of organi..."	13	0	0.39	"0.043"
"15"	"GO:0044255"	"cellular lipid metabolic process"	43	2	1.3	"0.046"
"16"	"GO:0046486"	"glycerolipid metabolic process"	9	1	0.27	"0.051"
"17"	"GO:0006650"	"glycerophospholipid metabolic process"	9	1	0.27	"0.051"
