"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0044444"	"cytoplasmic part"	566	8	5.66	"0.00093"
"2"	"GO:0005737"	"cytoplasm"	804	10	8.04	"0.00222"
"3"	"GO:0005739"	"mitochondrion"	166	3	1.66	"0.03998"
"4"	"GO:0044391"	"ribosomal subunit"	14	0	0.14	"0.04572"
"5"	"GO:0005657"	"replication fork"	5	0	0.05	"0.04605"
"6"	"GO:0005623"	"cell"	1768	18	17.67	"0.04625"
"7"	"GO:0005840"	"ribosome"	182	4	1.82	"0.05582"
"8"	"GO:0016469"	"proton-transporting two-sector ATPase co..."	30	1	0.3	"0.07561"
"9"	"GO:0044445"	"cytosolic part"	12	0	0.12	"0.10621"
"10"	"GO:0005829"	"cytosol"	50	0	0.5	"0.11266"
"11"	"GO:0044424"	"intracellular part"	1297	15	12.96	"0.11429"
"12"	"GO:0000502"	"proteasome complex"	14	1	0.14	"0.11922"
"13"	"GO:0005839"	"proteasome core complex"	14	1	0.14	"0.11922"
"14"	"GO:0043229"	"intracellular organelle"	1038	12	10.37	"0.12144"
"15"	"GO:0015935"	"small ribosomal subunit"	8	0	0.08	"0.12179"
"16"	"GO:0045259"	"proton-transporting ATP synthase complex"	23	1	0.23	"0.15228"
"17"	"GO:0043226"	"organelle"	1052	12	10.51	"0.18097"
"18"	"GO:0015934"	"large ribosomal subunit"	6	0	0.06	"0.19036"
"19"	"GO:0005773"	"vacuole"	17	0	0.17	"0.19785"
"20"	"GO:0016020"	"membrane"	397	1	3.97	"0.21231"
"21"	"GO:0030529"	"ribonucleoprotein complex"	215	5	2.15	"0.21234"
"22"	"GO:0031224"	"intrinsic to membrane"	158	0	1.58	"0.22914"
"23"	"GO:0009536"	"plastid"	6	0	0.06	"0.23043"
"24"	"GO:0005622"	"intracellular"	1513	17	15.12	"0.24766"
"25"	"GO:0016021"	"integral to membrane"	157	0	1.57	"0.25261"
"26"	"GO:0019867"	"outer membrane"	5	0	0.05	"0.25420"
"27"	"GO:0005758"	"mitochondrial intermembrane space"	5	1	0.05	"0.27567"
"28"	"GO:0031970"	"organelle envelope lumen"	5	1	0.05	"0.27567"
"29"	"GO:0000151"	"ubiquitin ligase complex"	6	0	0.06	"0.27710"
"30"	"GO:0044464"	"cell part"	1523	18	15.22	"0.28706"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0044444"	"cytoplasmic part"	566	8	5.66	"0.00093"
"2"	"GO:0005739"	"mitochondrion"	166	3	1.66	"0.03998"
"3"	"GO:0044391"	"ribosomal subunit"	14	0	0.14	"0.04572"
"4"	"GO:0005657"	"replication fork"	5	0	0.05	"0.04605"
"5"	"GO:0005840"	"ribosome"	182	4	1.82	"0.05582"
"6"	"GO:0016469"	"proton-transporting two-sector ATPase co..."	30	1	0.3	"0.07561"
"7"	"GO:0005623"	"cell"	1768	18	17.67	"0.08965"
"8"	"GO:0005737"	"cytoplasm"	804	10	8.04	"0.10144"
"9"	"GO:0044445"	"cytosolic part"	12	0	0.12	"0.10621"
"10"	"GO:0005829"	"cytosol"	50	0	0.5	"0.11266"
"11"	"GO:0000502"	"proteasome complex"	14	1	0.14	"0.11922"
"12"	"GO:0005839"	"proteasome core complex"	14	1	0.14	"0.11922"
"13"	"GO:0043229"	"intracellular organelle"	1038	12	10.37	"0.12144"
"14"	"GO:0015935"	"small ribosomal subunit"	8	0	0.08	"0.12179"
"15"	"GO:0045259"	"proton-transporting ATP synthase complex"	23	1	0.23	"0.15228"
"16"	"GO:0043226"	"organelle"	1052	12	10.51	"0.18097"
"17"	"GO:0015934"	"large ribosomal subunit"	6	0	0.06	"0.19036"
"18"	"GO:0005773"	"vacuole"	17	0	0.17	"0.19785"
"19"	"GO:0016020"	"membrane"	397	1	3.97	"0.21231"
"20"	"GO:0030529"	"ribonucleoprotein complex"	215	5	2.15	"0.21234"
"21"	"GO:0031224"	"intrinsic to membrane"	158	0	1.58	"0.22914"
"22"	"GO:0009536"	"plastid"	6	0	0.06	"0.23043"
"23"	"GO:0016021"	"integral to membrane"	157	0	1.57	"0.25261"
"24"	"GO:0019867"	"outer membrane"	5	0	0.05	"0.25420"
"25"	"GO:0031970"	"organelle envelope lumen"	5	1	0.05	"0.27567"
"26"	"GO:0005758"	"mitochondrial intermembrane space"	5	1	0.05	"0.27567"
"27"	"GO:0000151"	"ubiquitin ligase complex"	6	0	0.06	"0.27710"
"28"	"GO:0005740"	"mitochondrial envelope"	31	1	0.31	"0.28878"
"29"	"GO:0044425"	"membrane part"	220	1	2.2	"0.29578"
"30"	"GO:0031975"	"envelope"	53	1	0.53	"0.29972"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.weight01"
"1"	"GO:0005623"	"cell"	1768	18	17.67	"0.024"
"2"	"GO:0005657"	"replication fork"	5	0	0.05	"0.046"
"3"	"GO:0005739"	"mitochondrion"	166	3	1.66	"0.088"
"4"	"GO:0005840"	"ribosome"	182	4	1.82	"0.090"
"5"	"GO:0005783"	"endoplasmic reticulum"	79	0	0.79	"0.094"
"6"	"GO:0005737"	"cytoplasm"	804	10	8.04	"0.101"
"7"	"GO:0030117"	"membrane coat"	23	0	0.23	"0.105"
"8"	"GO:0044445"	"cytosolic part"	12	0	0.12	"0.106"
"9"	"GO:0016021"	"integral to membrane"	157	0	1.57	"0.118"
