"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0016614"	"oxidoreductase activity, acting on CH-OH..."	59	2	0.61	"0.0031"
"2"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	0	0.07	"0.0044"
"3"	"GO:0050136"	"NADH dehydrogenase (quinone) activity"	7	0	0.07	"0.0044"
"4"	"GO:0019201"	"nucleotide kinase activity"	5	0	0.05	"0.0045"
"5"	"GO:0004448"	"isocitrate dehydrogenase activity"	6	0	0.06	"0.0066"
"6"	"GO:0016616"	"oxidoreductase activity, acting on the C..."	47	2	0.49	"0.0085"
"7"	"GO:0016776"	"phosphotransferase activity, phosphate g..."	9	0	0.09	"0.0088"
"8"	"GO:0004298"	"threonine-type endopeptidase activity"	23	1	0.24	"0.0105"
"9"	"GO:0070003"	"threonine-type peptidase activity"	23	1	0.24	"0.0105"
"10"	"GO:0070566"	"adenylyltransferase activity"	10	0	0.1	"0.0119"
"11"	"GO:0004779"	"sulfate adenylyltransferase activity"	6	0	0.06	"0.0126"
"12"	"GO:0003954"	"NADH dehydrogenase activity"	8	0	0.08	"0.0155"
"13"	"GO:0004659"	"prenyltransferase activity"	8	0	0.08	"0.0171"
"14"	"GO:0003735"	"structural constituent of ribosome"	115	4	1.19	"0.0190"
"15"	"GO:0030246"	"carbohydrate binding"	5	1	0.05	"0.0220"
"16"	"GO:0016903"	"oxidoreductase activity, acting on the a..."	19	0	0.2	"0.0242"
"17"	"GO:0033764"	"steroid dehydrogenase activity, acting o..."	5	0	0.05	"0.0278"
"18"	"GO:0050661"	"NADP binding"	7	0	0.07	"0.0373"
"19"	"GO:0005198"	"structural molecule activity"	143	4	1.48	"0.0374"
"20"	"GO:0015077"	"monovalent inorganic cation transmembran..."	47	2	0.49	"0.0386"
"21"	"GO:0015078"	"hydrogen ion transmembrane transporter a..."	47	2	0.49	"0.0386"
"22"	"GO:0003720"	"telomerase activity"	5	0	0.05	"0.0386"
"23"	"GO:0003896"	"DNA primase activity"	5	0	0.05	"0.0386"
"24"	"GO:0003964"	"RNA-directed DNA polymerase activity"	5	0	0.05	"0.0386"
"25"	"GO:0008193"	"tRNA guanylyltransferase activity"	5	0	0.05	"0.0386"
"26"	"GO:0033677"	"DNA/RNA helicase activity"	5	0	0.05	"0.0386"
"27"	"GO:0043338"	"CTP:2,3-di-O-geranylgeranyl-sn-glycero-1..."	5	0	0.05	"0.0386"
"28"	"GO:0043814"	"phospholactate guanylyltransferase activ..."	5	0	0.05	"0.0386"
"29"	"GO:0070567"	"cytidylyltransferase activity"	9	0	0.09	"0.0411"
"30"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	0	0.06	"0.0436"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	0	0.07	"0.0044"
"2"	"GO:0019201"	"nucleotide kinase activity"	5	0	0.05	"0.0045"
"3"	"GO:0004448"	"isocitrate dehydrogenase activity"	6	0	0.06	"0.0066"
"4"	"GO:0016776"	"phosphotransferase activity, phosphate g..."	9	0	0.09	"0.0088"
"5"	"GO:0004298"	"threonine-type endopeptidase activity"	23	1	0.24	"0.0105"
"6"	"GO:0070003"	"threonine-type peptidase activity"	23	1	0.24	"0.0105"
"7"	"GO:0070566"	"adenylyltransferase activity"	10	0	0.1	"0.0119"
"8"	"GO:0004779"	"sulfate adenylyltransferase activity"	6	0	0.06	"0.0126"
"9"	"GO:0004659"	"prenyltransferase activity"	8	0	0.08	"0.0171"
"10"	"GO:0003735"	"structural constituent of ribosome"	115	4	1.19	"0.0190"
"11"	"GO:0030246"	"carbohydrate binding"	5	1	0.05	"0.0220"
"12"	"GO:0016903"	"oxidoreductase activity, acting on the a..."	19	0	0.2	"0.0242"
"13"	"GO:0033764"	"steroid dehydrogenase activity, acting o..."	5	0	0.05	"0.0278"
"14"	"GO:0016614"	"oxidoreductase activity, acting on CH-OH..."	59	2	0.61	"0.0286"
"15"	"GO:0050661"	"NADP binding"	7	0	0.07	"0.0373"
"16"	"GO:0005198"	"structural molecule activity"	143	4	1.48	"0.0374"
"17"	"GO:0015077"	"monovalent inorganic cation transmembran..."	47	2	0.49	"0.0386"
"18"	"GO:0015078"	"hydrogen ion transmembrane transporter a..."	47	2	0.49	"0.0386"
"19"	"GO:0043338"	"CTP:2,3-di-O-geranylgeranyl-sn-glycero-1..."	5	0	0.05	"0.0386"
"20"	"GO:0003896"	"DNA primase activity"	5	0	0.05	"0.0386"
"21"	"GO:0033677"	"DNA/RNA helicase activity"	5	0	0.05	"0.0386"
"22"	"GO:0043814"	"phospholactate guanylyltransferase activ..."	5	0	0.05	"0.0386"
"23"	"GO:0008193"	"tRNA guanylyltransferase activity"	5	0	0.05	"0.0386"
"24"	"GO:0003720"	"telomerase activity"	5	0	0.05	"0.0386"
"25"	"GO:0003964"	"RNA-directed DNA polymerase activity"	5	0	0.05	"0.0386"
"26"	"GO:0070567"	"cytidylyltransferase activity"	9	0	0.09	"0.0411"
"27"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	0	0.06	"0.0436"
"28"	"GO:0022804"	"active transmembrane transporter activit..."	131	1	1.35	"0.0511"
"29"	"GO:0015297"	"antiporter activity"	6	0	0.06	"0.0548"
"30"	"GO:0004311"	"farnesyltranstransferase activity"	5	0	0.05	"0.0563"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.weight01"
"1"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	0	0.07	"0.0044"
"2"	"GO:0019201"	"nucleotide kinase activity"	5	0	0.05	"0.0045"
"3"	"GO:0004448"	"isocitrate dehydrogenase activity"	6	0	0.06	"0.0066"
"4"	"GO:0016776"	"phosphotransferase activity, phosphate g..."	9	0	0.09	"0.0088"
"5"	"GO:0004298"	"threonine-type endopeptidase activity"	23	1	0.24	"0.0105"
"6"	"GO:0004779"	"sulfate adenylyltransferase activity"	6	0	0.06	"0.0126"
"7"	"GO:0003735"	"structural constituent of ribosome"	115	4	1.19	"0.0190"
"8"	"GO:0030246"	"carbohydrate binding"	5	1	0.05	"0.0220"
"9"	"GO:0033764"	"steroid dehydrogenase activity, acting o..."	5	0	0.05	"0.0278"
"10"	"GO:0050662"	"coenzyme binding"	69	1	0.71	"0.0283"
"11"	"GO:0008094"	"DNA-dependent ATPase activity"	101	1	1.04	"0.0284"
"12"	"GO:0050661"	"NADP binding"	7	0	0.07	"0.0373"
"13"	"GO:0043338"	"CTP:2,3-di-O-geranylgeranyl-sn-glycero-1..."	5	0	0.05	"0.0386"
"14"	"GO:0003896"	"DNA primase activity"	5	0	0.05	"0.0386"
"15"	"GO:0033677"	"DNA/RNA helicase activity"	5	0	0.05	"0.0386"
"16"	"GO:0043814"	"phospholactate guanylyltransferase activ..."	5	0	0.05	"0.0386"
"17"	"GO:0008193"	"tRNA guanylyltransferase activity"	5	0	0.05	"0.0386"
