"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0016614"	"oxidoreductase activity, acting on CH-OH..."	59	8	1.67	"0.0014"
"2"	"GO:0016616"	"oxidoreductase activity, acting on the C..."	47	8	1.33	"0.0023"
"3"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	1	0.2	"0.0080"
"4"	"GO:0050136"	"NADH dehydrogenase (quinone) activity"	7	1	0.2	"0.0080"
"5"	"GO:0004659"	"prenyltransferase activity"	8	1	0.23	"0.0103"
"6"	"GO:0019201"	"nucleotide kinase activity"	5	0	0.14	"0.0122"
"7"	"GO:0004448"	"isocitrate dehydrogenase activity"	6	1	0.17	"0.0188"
"8"	"GO:0004298"	"threonine-type endopeptidase activity"	23	3	0.65	"0.0201"
"9"	"GO:0070003"	"threonine-type peptidase activity"	23	3	0.65	"0.0201"
"10"	"GO:0004779"	"sulfate adenylyltransferase activity"	6	0	0.17	"0.0294"
"11"	"GO:0016776"	"phosphotransferase activity, phosphate g..."	9	0	0.26	"0.0297"
"12"	"GO:0004622"	"lysophospholipase activity"	5	0	0.14	"0.0309"
"13"	"GO:0003954"	"NADH dehydrogenase activity"	8	1	0.23	"0.0326"
"14"	"GO:0030246"	"carbohydrate binding"	5	1	0.14	"0.0352"
"15"	"GO:0070566"	"adenylyltransferase activity"	10	0	0.28	"0.0353"
"16"	"GO:0009055"	"electron carrier activity"	37	3	1.05	"0.0371"
"17"	"GO:0050661"	"NADP binding"	7	1	0.2	"0.0437"
"18"	"GO:0070567"	"cytidylyltransferase activity"	9	0	0.26	"0.0455"
"19"	"GO:0033764"	"steroid dehydrogenase activity, acting o..."	5	1	0.14	"0.0470"
"20"	"GO:0015297"	"antiporter activity"	6	0	0.17	"0.0492"
"21"	"GO:0008318"	"protein prenyltransferase activity"	6	1	0.17	"0.0541"
"22"	"GO:0016903"	"oxidoreductase activity, acting on the a..."	19	0	0.54	"0.0594"
"23"	"GO:0003720"	"telomerase activity"	5	0	0.14	"0.0752"
"24"	"GO:0003896"	"DNA primase activity"	5	0	0.14	"0.0752"
"25"	"GO:0003964"	"RNA-directed DNA polymerase activity"	5	0	0.14	"0.0752"
"26"	"GO:0008193"	"tRNA guanylyltransferase activity"	5	0	0.14	"0.0752"
"27"	"GO:0033677"	"DNA/RNA helicase activity"	5	0	0.14	"0.0752"
"28"	"GO:0043338"	"CTP:2,3-di-O-geranylgeranyl-sn-glycero-1..."	5	0	0.14	"0.0752"
"29"	"GO:0043814"	"phospholactate guanylyltransferase activ..."	5	0	0.14	"0.0752"
"30"	"GO:0015298"	"solute:cation antiporter activity"	5	0	0.14	"0.0813"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0016616"	"oxidoreductase activity, acting on the C..."	47	8	1.33	"0.0023"
"2"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	1	0.2	"0.0080"
"3"	"GO:0004659"	"prenyltransferase activity"	8	1	0.23	"0.0103"
"4"	"GO:0019201"	"nucleotide kinase activity"	5	0	0.14	"0.0122"
"5"	"GO:0004448"	"isocitrate dehydrogenase activity"	6	1	0.17	"0.0188"
"6"	"GO:0004298"	"threonine-type endopeptidase activity"	23	3	0.65	"0.0201"
"7"	"GO:0070003"	"threonine-type peptidase activity"	23	3	0.65	"0.0201"
"8"	"GO:0004779"	"sulfate adenylyltransferase activity"	6	0	0.17	"0.0294"
"9"	"GO:0016776"	"phosphotransferase activity, phosphate g..."	9	0	0.26	"0.0297"
"10"	"GO:0004622"	"lysophospholipase activity"	5	0	0.14	"0.0309"
"11"	"GO:0030246"	"carbohydrate binding"	5	1	0.14	"0.0352"
"12"	"GO:0070566"	"adenylyltransferase activity"	10	0	0.28	"0.0353"
"13"	"GO:0009055"	"electron carrier activity"	37	3	1.05	"0.0371"
"14"	"GO:0050661"	"NADP binding"	7	1	0.2	"0.0437"
"15"	"GO:0070567"	"cytidylyltransferase activity"	9	0	0.26	"0.0455"
"16"	"GO:0033764"	"steroid dehydrogenase activity, acting o..."	5	1	0.14	"0.0470"
"17"	"GO:0015297"	"antiporter activity"	6	0	0.17	"0.0492"
"18"	"GO:0008318"	"protein prenyltransferase activity"	6	1	0.17	"0.0541"
"19"	"GO:0016903"	"oxidoreductase activity, acting on the a..."	19	0	0.54	"0.0594"
"20"	"GO:0043338"	"CTP:2,3-di-O-geranylgeranyl-sn-glycero-1..."	5	0	0.14	"0.0752"
"21"	"GO:0003896"	"DNA primase activity"	5	0	0.14	"0.0752"
"22"	"GO:0033677"	"DNA/RNA helicase activity"	5	0	0.14	"0.0752"
"23"	"GO:0043814"	"phospholactate guanylyltransferase activ..."	5	0	0.14	"0.0752"
"24"	"GO:0008193"	"tRNA guanylyltransferase activity"	5	0	0.14	"0.0752"
"25"	"GO:0003720"	"telomerase activity"	5	0	0.14	"0.0752"
"26"	"GO:0003964"	"RNA-directed DNA polymerase activity"	5	0	0.14	"0.0752"
"27"	"GO:0015300"	"solute:solute antiporter activity"	5	0	0.14	"0.0813"
"28"	"GO:0015298"	"solute:cation antiporter activity"	5	0	0.14	"0.0813"
"29"	"GO:0015299"	"solute:hydrogen antiporter activity"	5	0	0.14	"0.0813"
"30"	"GO:0008375"	"acetylglucosaminyltransferase activity"	19	0	0.54	"0.0878"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.weight01"
"1"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	1	0.2	"0.008"
"2"	"GO:0019201"	"nucleotide kinase activity"	5	0	0.14	"0.012"
"3"	"GO:0004448"	"isocitrate dehydrogenase activity"	6	1	0.17	"0.019"
"4"	"GO:0004298"	"threonine-type endopeptidase activity"	23	3	0.65	"0.020"
"5"	"GO:0016853"	"isomerase activity"	57	0	1.62	"0.023"
"6"	"GO:0016616"	"oxidoreductase activity, acting on the C..."	47	8	1.33	"0.029"
"7"	"GO:0004779"	"sulfate adenylyltransferase activity"	6	0	0.17	"0.029"
"8"	"GO:0016776"	"phosphotransferase activity, phosphate g..."	9	0	0.26	"0.030"
"9"	"GO:0050662"	"coenzyme binding"	69	3	1.96	"0.030"
"10"	"GO:0004622"	"lysophospholipase activity"	5	0	0.14	"0.031"
"11"	"GO:0030246"	"carbohydrate binding"	5	1	0.14	"0.035"
"12"	"GO:0008094"	"DNA-dependent ATPase activity"	101	1	2.86	"0.036"
"13"	"GO:0009055"	"electron carrier activity"	37	3	1.05	"0.037"
"14"	"GO:0016410"	"N-acyltransferase activity"	32	0	0.91	"0.044"
"15"	"GO:0050661"	"NADP binding"	7	1	0.2	"0.044"
"16"	"GO:0033764"	"steroid dehydrogenase activity, acting o..."	5	1	0.14	"0.047"
"17"	"GO:0008169"	"C-methyltransferase activity"	15	0	0.43	"0.047"
"18"	"GO:0008318"	"protein prenyltransferase activity"	6	1	0.17	"0.054"
"19"	"GO:0016881"	"acid-amino acid ligase activity"	49	4	1.39	"0.060"
"20"	"GO:0016903"	"oxidoreductase activity, acting on the a..."	19	0	0.54	"0.062"
"21"	"GO:0016645"	"oxidoreductase activity, acting on the C..."	10	0	0.28	"0.071"
"22"	"GO:0043338"	"CTP:2,3-di-O-geranylgeranyl-sn-glycero-1..."	5	0	0.14	"0.075"
"23"	"GO:0003896"	"DNA primase activity"	5	0	0.14	"0.075"
"24"	"GO:0033677"	"DNA/RNA helicase activity"	5	0	0.14	"0.075"
"25"	"GO:0043814"	"phospholactate guanylyltransferase activ..."	5	0	0.14	"0.075"
"26"	"GO:0008193"	"tRNA guanylyltransferase activity"	5	0	0.14	"0.075"
"27"	"GO:0003720"	"telomerase activity"	5	0	0.14	"0.075"
"28"	"GO:0016893"	"endonuclease activity, active with eithe..."	14	0	0.4	"0.076"
"29"	"GO:0003724"	"RNA helicase activity"	55	0	1.56	"0.076"
"30"	"GO:0016614"	"oxidoreductase activity, acting on CH-OH..."	59	8	1.67	"0.078"
