"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0006412"	"translation"	229	63	29.26	"1.4e-08"
"2"	"GO:0006091"	"generation of precursor metabolites and ..."	94	26	12.01	"2.1e-05"
"3"	"GO:0044267"	"cellular protein metabolic process"	548	101	70.01	"4.8e-05"
"4"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	361	78	46.12	"7.2e-05"
"5"	"GO:0009058"	"biosynthetic process"	739	132	94.42	"8.1e-05"
"6"	"GO:0009059"	"macromolecule biosynthetic process"	365	78	46.63	"0.00013"
"7"	"GO:0009987"	"cellular process"	1684	252	215.15	"0.00020"
"8"	"GO:0044249"	"cellular biosynthetic process"	531	103	67.84	"0.00021"
"9"	"GO:0044237"	"cellular metabolic process"	1377	216	175.93	"0.00042"
"10"	"GO:0010467"	"gene expression"	386	73	49.32	"0.00105"
"11"	"GO:0006006"	"glucose metabolic process"	19	3	2.43	"0.00131"
"12"	"GO:0006414"	"translational elongation"	10	5	1.28	"0.00253"
"13"	"GO:0019538"	"protein metabolic process"	687	112	87.77	"0.00256"
"14"	"GO:0006221"	"pyrimidine nucleotide biosynthetic proce..."	6	4	0.77	"0.00372"
"15"	"GO:0019318"	"hexose metabolic process"	25	4	3.19	"0.00382"
"16"	"GO:0044275"	"cellular carbohydrate catabolic process"	18	3	2.3	"0.00418"
"17"	"GO:0044262"	"cellular carbohydrate metabolic process"	50	8	6.39	"0.00578"
"18"	"GO:0006066"	"alcohol metabolic process"	38	5	4.85	"0.00580"
"19"	"GO:0005996"	"monosaccharide metabolic process"	26	4	3.32	"0.00663"
"20"	"GO:0006913"	"nucleocytoplasmic transport"	20	4	2.56	"0.00678"
"21"	"GO:0051169"	"nuclear transport"	20	4	2.56	"0.00678"
"22"	"GO:0046164"	"alcohol catabolic process"	17	3	2.17	"0.00730"
"23"	"GO:0008104"	"protein localization"	139	24	17.76	"0.00793"
"24"	"GO:0016052"	"carbohydrate catabolic process"	19	3	2.43	"0.00834"
"25"	"GO:0006220"	"pyrimidine nucleotide metabolic process"	7	4	0.89	"0.01171"
"26"	"GO:0015031"	"protein transport"	137	24	17.5	"0.01187"
"27"	"GO:0045184"	"establishment of protein localization"	137	24	17.5	"0.01187"
"28"	"GO:0044281"	"small molecule metabolic process"	273	45	34.88	"0.01301"
"29"	"GO:0009165"	"nucleotide biosynthetic process"	39	13	4.98	"0.01493"
"30"	"GO:0071842"	"cellular component organization at cellu..."	190	35	24.27	"0.01597"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0006412"	"translation"	229	63	29.26	"3.7e-07"
"2"	"GO:0006091"	"generation of precursor metabolites and ..."	94	26	12.01	"2.1e-05"
"3"	"GO:0006006"	"glucose metabolic process"	19	3	2.43	"0.0013"
"4"	"GO:0006414"	"translational elongation"	10	5	1.28	"0.0025"
"5"	"GO:0006221"	"pyrimidine nucleotide biosynthetic proce..."	6	4	0.77	"0.0037"
"6"	"GO:0044275"	"cellular carbohydrate catabolic process"	18	3	2.3	"0.0042"
"7"	"GO:0006913"	"nucleocytoplasmic transport"	20	4	2.56	"0.0068"
"8"	"GO:0046164"	"alcohol catabolic process"	17	3	2.17	"0.0073"
"9"	"GO:0008104"	"protein localization"	139	24	17.76	"0.0079"
"10"	"GO:0045184"	"establishment of protein localization"	137	24	17.5	"0.0119"
"11"	"GO:0015031"	"protein transport"	137	24	17.5	"0.0119"
"12"	"GO:0071842"	"cellular component organization at cellu..."	190	35	24.27	"0.0160"
"13"	"GO:0019320"	"hexose catabolic process"	16	3	2.04	"0.0165"
"14"	"GO:0006007"	"glucose catabolic process"	16	3	2.04	"0.0165"
"15"	"GO:0046365"	"monosaccharide catabolic process"	16	3	2.04	"0.0165"
"16"	"GO:0071844"	"cellular component assembly at cellular ..."	35	10	4.47	"0.0204"
"17"	"GO:0034622"	"cellular macromolecular complex assembly"	35	10	4.47	"0.0204"
"18"	"GO:0006996"	"organelle organization"	169	31	21.59	"0.0229"
"19"	"GO:0072522"	"purine-containing compound biosynthetic ..."	30	10	3.83	"0.0244"
"20"	"GO:0006886"	"intracellular protein transport"	72	15	9.2	"0.0273"
"21"	"GO:0071841"	"cellular component organization or bioge..."	212	37	27.09	"0.0276"
"22"	"GO:0022402"	"cell cycle process"	30	7	3.83	"0.0339"
"23"	"GO:0034613"	"cellular protein localization"	74	15	9.45	"0.0386"
"24"	"GO:0070727"	"cellular macromolecule localization"	74	15	9.45	"0.0386"
"25"	"GO:0006310"	"DNA recombination"	7	4	0.89	"0.0399"
"26"	"GO:0006333"	"chromatin assembly or disassembly"	17	5	2.17	"0.0402"
"27"	"GO:0006164"	"purine nucleotide biosynthetic process"	29	10	3.71	"0.0403"
"28"	"GO:0000096"	"sulfur amino acid metabolic process"	7	3	0.89	"0.0417"
"29"	"GO:0006555"	"methionine metabolic process"	5	2	0.64	"0.0425"
"30"	"GO:0006096"	"glycolysis"	13	3	1.66	"0.0427"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.weight01"
