"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0006412"	"translation"	229	39	15.55	"5.1e-07"
"2"	"GO:0006091"	"generation of precursor metabolites and ..."	94	20	6.38	"8.4e-06"
"3"	"GO:0009058"	"biosynthetic process"	739	79	50.18	"7.1e-05"
"4"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	361	45	24.51	"9.0e-05"
"5"	"GO:0009987"	"cellular process"	1684	140	114.34	"0.00016"
"6"	"GO:0009059"	"macromolecule biosynthetic process"	365	45	24.78	"0.00017"
"7"	"GO:0044249"	"cellular biosynthetic process"	531	58	36.05	"0.00047"
"8"	"GO:0044237"	"cellular metabolic process"	1377	126	93.5	"0.00059"
"9"	"GO:0044267"	"cellular protein metabolic process"	548	56	37.21	"0.00080"
"10"	"GO:0006221"	"pyrimidine nucleotide biosynthetic proce..."	6	4	0.41	"0.00344"
"11"	"GO:0010467"	"gene expression"	386	44	26.21	"0.00355"
"12"	"GO:0055114"	"oxidation-reduction process"	18	2	1.22	"0.00376"
"13"	"GO:0006006"	"glucose metabolic process"	19	3	1.29	"0.00435"
"14"	"GO:0006414"	"translational elongation"	10	3	0.68	"0.00522"
"15"	"GO:0044262"	"cellular carbohydrate metabolic process"	50	5	3.39	"0.00655"
"16"	"GO:0044275"	"cellular carbohydrate catabolic process"	18	3	1.22	"0.00926"
"17"	"GO:0006220"	"pyrimidine nucleotide metabolic process"	7	4	0.48	"0.01085"
"18"	"GO:0019318"	"hexose metabolic process"	25	3	1.7	"0.01323"
"19"	"GO:0006913"	"nucleocytoplasmic transport"	20	2	1.36	"0.01355"
"20"	"GO:0051169"	"nuclear transport"	20	2	1.36	"0.01355"
"21"	"GO:0008104"	"protein localization"	139	14	9.44	"0.01579"
"22"	"GO:0016052"	"carbohydrate catabolic process"	19	3	1.29	"0.01786"
"23"	"GO:0006886"	"intracellular protein transport"	72	6	4.89	"0.01791"
"24"	"GO:0019538"	"protein metabolic process"	687	63	46.65	"0.01871"
"25"	"GO:0046164"	"alcohol catabolic process"	17	3	1.15	"0.01924"
"26"	"GO:0015031"	"protein transport"	137	14	9.3	"0.02026"
"27"	"GO:0045184"	"establishment of protein localization"	137	14	9.3	"0.02026"
"28"	"GO:0005996"	"monosaccharide metabolic process"	26	3	1.77	"0.02196"
"29"	"GO:0006066"	"alcohol metabolic process"	38	4	2.58	"0.02231"
"30"	"GO:0044282"	"small molecule catabolic process"	23	3	1.56	"0.02436"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0006412"	"translation"	229	39	15.55	"7.6e-06"
"2"	"GO:0006091"	"generation of precursor metabolites and ..."	94	20	6.38	"8.4e-06"
"3"	"GO:0006221"	"pyrimidine nucleotide biosynthetic proce..."	6	4	0.41	"0.0034"
"4"	"GO:0055114"	"oxidation-reduction process"	18	2	1.22	"0.0038"
"5"	"GO:0006006"	"glucose metabolic process"	19	3	1.29	"0.0043"
"6"	"GO:0006414"	"translational elongation"	10	3	0.68	"0.0052"
"7"	"GO:0044275"	"cellular carbohydrate catabolic process"	18	3	1.22	"0.0093"
"8"	"GO:0006913"	"nucleocytoplasmic transport"	20	2	1.36	"0.0135"
"9"	"GO:0051169"	"nuclear transport"	20	2	1.36	"0.0135"
"10"	"GO:0008104"	"protein localization"	139	14	9.44	"0.0158"
"11"	"GO:0006886"	"intracellular protein transport"	72	6	4.89	"0.0179"
"12"	"GO:0046164"	"alcohol catabolic process"	17	3	1.15	"0.0192"
"13"	"GO:0045184"	"establishment of protein localization"	137	14	9.3	"0.0203"
"14"	"GO:0015031"	"protein transport"	137	14	9.3	"0.0203"
"15"	"GO:0044282"	"small molecule catabolic process"	23	3	1.56	"0.0244"
