"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0005840"	"ribosome"	182	58	25.87	"2.4e-10"
"2"	"GO:0005737"	"cytoplasm"	804	164	114.28	"7.1e-10"
"3"	"GO:0030529"	"ribonucleoprotein complex"	215	64	30.56	"1.9e-09"
"4"	"GO:0044444"	"cytoplasmic part"	566	124	80.45	"8.3e-07"
"5"	"GO:0043228"	"non-membrane-bounded organelle"	396	95	56.29	"6.9e-06"
"6"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	95	56.29	"6.9e-06"
"7"	"GO:0044424"	"intracellular part"	1297	218	184.36	"0.00019"
"8"	"GO:0032991"	"macromolecular complex"	719	133	102.2	"0.00110"
"9"	"GO:0043229"	"intracellular organelle"	1038	182	147.54	"0.00133"
"10"	"GO:0043226"	"organelle"	1052	183	149.53	"0.00167"
"11"	"GO:0005829"	"cytosol"	50	13	7.11	"0.00408"
"12"	"GO:0005622"	"intracellular"	1513	233	215.06	"0.00580"
"13"	"GO:0044464"	"cell part"	1523	234	216.48	"0.00925"
"14"	"GO:0015935"	"small ribosomal subunit"	8	4	1.14	"0.01082"
"15"	"GO:0005794"	"Golgi apparatus"	53	9	7.53	"0.01684"
"16"	"GO:0005623"	"cell"	1768	255	251.31	"0.02584"
"17"	"GO:0005739"	"mitochondrion"	166	38	23.6	"0.03001"
"18"	"GO:0044391"	"ribosomal subunit"	14	6	1.99	"0.03024"
"19"	"GO:0005856"	"cytoskeleton"	68	11	9.67	"0.03731"
"20"	"GO:0000785"	"chromatin"	14	5	1.99	"0.06027"
"21"	"GO:0005874"	"microtubule"	6	2	0.85	"0.07610"
"22"	"GO:0016591"	"DNA-directed RNA polymerase II, holoenzy..."	9	1	1.28	"0.09219"
"23"	"GO:0012505"	"endomembrane system"	47	6	6.68	"0.09822"
"24"	"GO:0000786"	"nucleosome"	11	4	1.56	"0.10077"
"25"	"GO:0009536"	"plastid"	6	3	0.85	"0.11424"
"26"	"GO:0005815"	"microtubule organizing center"	9	2	1.28	"0.12242"
"27"	"GO:0005789"	"endoplasmic reticulum membrane"	14	0	1.99	"0.12375"
"28"	"GO:0042175"	"nuclear outer membrane-endoplasmic retic..."	14	0	1.99	"0.12375"
"29"	"GO:0044432"	"endoplasmic reticulum part"	14	0	1.99	"0.12375"
"30"	"GO:0032993"	"protein-DNA complex"	12	4	1.71	"0.12800"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0005840"	"ribosome"	182	58	25.87	"2.4e-10"
"2"	"GO:0005737"	"cytoplasm"	804	164	114.28	"2.4e-05"
"3"	"GO:0005829"	"cytosol"	50	13	7.11	"0.0041"
"4"	"GO:0015935"	"small ribosomal subunit"	8	4	1.14	"0.0108"
"5"	"GO:0044444"	"cytoplasmic part"	566	124	80.45	"0.0164"
"6"	"GO:0005794"	"Golgi apparatus"	53	9	7.53	"0.0168"
"7"	"GO:0005739"	"mitochondrion"	166	38	23.6	"0.0300"
"8"	"GO:0044391"	"ribosomal subunit"	14	6	1.99	"0.0302"
"9"	"GO:0005856"	"cytoskeleton"	68	11	9.67	"0.0373"
"10"	"GO:0000785"	"chromatin"	14	5	1.99	"0.0603"
"11"	"GO:0043229"	"intracellular organelle"	1038	182	147.54	"0.0642"
"12"	"GO:0043226"	"organelle"	1052	183	149.53	"0.0716"
"13"	"GO:0005874"	"microtubule"	6	2	0.85	"0.0761"
"14"	"GO:0016591"	"DNA-directed RNA polymerase II, holoenzy..."	9	1	1.28	"0.0922"
"15"	"GO:0043228"	"non-membrane-bounded organelle"	396	95	56.29	"0.0981"
"16"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	95	56.29	"0.0981"
