"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0005737"	"cytoplasm"	804	93	61.16	"7.1e-09"
"2"	"GO:0005840"	"ribosome"	182	38	13.84	"2.2e-08"
"3"	"GO:0030529"	"ribonucleoprotein complex"	215	42	16.35	"1.6e-07"
"4"	"GO:0044444"	"cytoplasmic part"	566	74	43.05	"1.2e-06"
"5"	"GO:0043228"	"non-membrane-bounded organelle"	396	61	30.12	"2.5e-06"
"6"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	61	30.12	"2.5e-06"
"7"	"GO:0044424"	"intracellular part"	1297	122	98.66	"0.00049"
"8"	"GO:0043229"	"intracellular organelle"	1038	105	78.96	"0.00069"
"9"	"GO:0043226"	"organelle"	1052	106	80.02	"0.00097"
"10"	"GO:0032991"	"macromolecular complex"	719	76	54.69	"0.00537"
"11"	"GO:0015935"	"small ribosomal subunit"	8	3	0.61	"0.00621"
"12"	"GO:0005622"	"intracellular"	1513	132	115.09	"0.00683"
"13"	"GO:0005829"	"cytosol"	50	4	3.8	"0.00896"
"14"	"GO:0044464"	"cell part"	1523	132	115.85	"0.01049"
"15"	"GO:0044391"	"ribosomal subunit"	14	5	1.06	"0.01567"
"16"	"GO:0005739"	"mitochondrion"	166	20	12.63	"0.01761"
"17"	"GO:0005794"	"Golgi apparatus"	53	5	4.03	"0.01981"
"18"	"GO:0009536"	"plastid"	6	2	0.46	"0.03794"
"19"	"GO:0016591"	"DNA-directed RNA polymerase II, holoenzy..."	9	1	0.68	"0.04205"
"20"	"GO:0005623"	"cell"	1768	137	134.49	"0.04247"
"21"	"GO:0005856"	"cytoskeleton"	68	7	5.17	"0.05718"
"22"	"GO:0000785"	"chromatin"	14	5	1.06	"0.06147"
"23"	"GO:0005874"	"microtubule"	6	1	0.46	"0.09977"
"24"	"GO:0000786"	"nucleosome"	11	4	0.84	"0.10237"
"25"	"GO:0044431"	"Golgi apparatus part"	11	0	0.84	"0.11361"
"26"	"GO:0005886"	"plasma membrane"	26	3	1.98	"0.11720"
"27"	"GO:0032993"	"protein-DNA complex"	12	4	0.91	"0.13002"
"28"	"GO:0005815"	"microtubule organizing center"	9	0	0.68	"0.13458"
"29"	"GO:0031967"	"organelle envelope"	53	4	4.03	"0.15441"
"30"	"GO:0031975"	"envelope"	53	4	4.03	"0.15441"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0005840"	"ribosome"	182	38	13.84	"1.9e-07"
"2"	"GO:0005737"	"cytoplasm"	804	93	61.16	"4.9e-05"
"3"	"GO:0015935"	"small ribosomal subunit"	8	3	0.61	"0.0062"
"4"	"GO:0005829"	"cytosol"	50	4	3.8	"0.0090"
"5"	"GO:0005739"	"mitochondrion"	166	20	12.63	"0.0176"
"6"	"GO:0005794"	"Golgi apparatus"	53	5	4.03	"0.0198"
"7"	"GO:0009536"	"plastid"	6	2	0.46	"0.0379"
"8"	"GO:0016591"	"DNA-directed RNA polymerase II, holoenzy..."	9	1	0.68	"0.0421"
"9"	"GO:0044444"	"cytoplasmic part"	566	74	43.05	"0.0425"
"10"	"GO:0043229"	"intracellular organelle"	1038	105	78.96	"0.0436"
"11"	"GO:0043226"	"organelle"	1052	106	80.02	"0.0522"
"12"	"GO:0005856"	"cytoskeleton"	68	7	5.17	"0.0572"
"13"	"GO:0000785"	"chromatin"	14	5	1.06	"0.0615"
"14"	"GO:0043228"	"non-membrane-bounded organelle"	396	61	30.12	"0.0959"
"15"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	61	30.12	"0.0959"
"16"	"GO:0005874"	"microtubule"	6	1	0.46	"0.0998"
"17"	"GO:0000786"	"nucleosome"	11	4	0.84	"0.1024"
"18"	"GO:0044431"	"Golgi apparatus part"	11	0	0.84	"0.1136"
"19"	"GO:0005886"	"plasma membrane"	26	3	1.98	"0.1172"
"20"	"GO:0032993"	"protein-DNA complex"	12	4	0.91	"0.1300"
"21"	"GO:0005815"	"microtubule organizing center"	9	0	0.68	"0.1346"
"22"	"GO:0031975"	"envelope"	53	4	4.03	"0.1544"
"23"	"GO:0031967"	"organelle envelope"	53	4	4.03	"0.1544"
"24"	"GO:0012505"	"endomembrane system"	47	2	3.58	"0.1770"
"25"	"GO:0030119"	"AP-type membrane coat adaptor complex"	5	1	0.38	"0.1852"
"26"	"GO:0030131"	"clathrin adaptor complex"	5	1	0.38	"0.1852"
"27"	"GO:0005740"	"mitochondrial envelope"	31	2	2.36	"0.1916"
"28"	"GO:0071944"	"cell periphery"	34	3	2.59	"0.1930"
"29"	"GO:0005623"	"cell"	1768	137	134.49	"0.1991"
"30"	"GO:0005789"	"endoplasmic reticulum membrane"	14	0	1.06	"0.2001"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.weight01"
"1"	"GO:0005840"	"ribosome"	182	38	13.84	"1.2e-07"
"2"	"GO:0005737"	"cytoplasm"	804	93	61.16	"0.00046"
"3"	"GO:0005829"	"cytosol"	50	4	3.8	"0.00569"
"4"	"GO:0015935"	"small ribosomal subunit"	8	3	0.61	"0.00621"
"5"	"GO:0005739"	"mitochondrion"	166	20	12.63	"0.02377"
"6"	"GO:0005886"	"plasma membrane"	26	3	1.98	"0.02797"
"7"	"GO:0009536"	"plastid"	6	2	0.46	"0.03794"
"8"	"GO:0016591"	"DNA-directed RNA polymerase II, holoenzy..."	9	1	0.68	"0.04205"
"9"	"GO:0005856"	"cytoskeleton"	68	7	5.17	"0.06958"
"10"	"GO:0005794"	"Golgi apparatus"	53	5	4.03	"0.09676"
"11"	"GO:0005874"	"microtubule"	6	1	0.46	"0.09977"
"12"	"GO:0000786"	"nucleosome"	11	4	0.84	"0.10237"
"13"	"GO:0005815"	"microtubule organizing center"	9	0	0.68	"0.13458"
