"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0005198"	"structural molecule activity"	143	44	16.21	"1.0e-08"
"2"	"GO:0003735"	"structural constituent of ribosome"	115	40	13.04	"7.2e-08"
"3"	"GO:0005525"	"GTP binding"	65	14	7.37	"0.0014"
"4"	"GO:0019001"	"guanyl nucleotide binding"	65	14	7.37	"0.0014"
"5"	"GO:0032561"	"guanyl ribonucleotide binding"	65	14	7.37	"0.0014"
"6"	"GO:0003924"	"GTPase activity"	33	8	3.74	"0.0027"
"7"	"GO:0008135"	"translation factor activity, nucleic aci..."	50	13	5.67	"0.0035"
"8"	"GO:0016645"	"oxidoreductase activity, acting on the C..."	10	2	1.13	"0.0049"
"9"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	2	0.68	"0.0099"
"10"	"GO:0016646"	"oxidoreductase activity, acting on the C..."	8	2	0.91	"0.0143"
"11"	"GO:0008905"	"mannose-phosphate guanylyltransferase ac..."	7	0	0.79	"0.0153"
"12"	"GO:0036094"	"small molecule binding"	778	111	88.2	"0.0199"
"13"	"GO:0004448"	"isocitrate dehydrogenase activity"	6	2	0.68	"0.0232"
"14"	"GO:0003746"	"translation elongation factor activity"	7	4	0.79	"0.0262"
"15"	"GO:0016763"	"transferase activity, transferring pento..."	9	2	1.02	"0.0287"
"16"	"GO:0000166"	"nucleotide binding"	742	104	84.12	"0.0355"
"17"	"GO:0003723"	"RNA binding"	191	32	21.65	"0.0401"
"18"	"GO:0016209"	"antioxidant activity"	14	2	1.59	"0.0460"
"19"	"GO:0003720"	"telomerase activity"	5	0	0.57	"0.0506"
"20"	"GO:0003896"	"DNA primase activity"	5	0	0.57	"0.0506"
"21"	"GO:0003964"	"RNA-directed DNA polymerase activity"	5	0	0.57	"0.0506"
"22"	"GO:0008193"	"tRNA guanylyltransferase activity"	5	0	0.57	"0.0506"
"23"	"GO:0033677"	"DNA/RNA helicase activity"	5	0	0.57	"0.0506"
"24"	"GO:0043338"	"CTP:2,3-di-O-geranylgeranyl-sn-glycero-1..."	5	0	0.57	"0.0506"
"25"	"GO:0043814"	"phospholactate guanylyltransferase activ..."	5	0	0.57	"0.0506"
"26"	"GO:0003743"	"translation initiation factor activity"	16	5	1.81	"0.0508"
"27"	"GO:0008318"	"protein prenyltransferase activity"	6	1	0.68	"0.0645"
"28"	"GO:0004842"	"ubiquitin-protein ligase activity"	28	6	3.17	"0.0759"
"29"	"GO:0019787"	"small conjugating protein ligase activit..."	28	6	3.17	"0.0759"
"30"	"GO:0070567"	"cytidylyltransferase activity"	9	0	1.02	"0.0771"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	40	13.04	"7.2e-08"
"2"	"GO:0005525"	"GTP binding"	65	14	7.37	"0.0014"
"3"	"GO:0003924"	"GTPase activity"	33	8	3.74	"0.0027"
"4"	"GO:0008135"	"translation factor activity, nucleic aci..."	50	13	5.67	"0.0035"
"5"	"GO:0016645"	"oxidoreductase activity, acting on the C..."	10	2	1.13	"0.0049"
"6"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	2	0.68	"0.0099"
"7"	"GO:0005198"	"structural molecule activity"	143	44	16.21	"0.0136"
"8"	"GO:0016646"	"oxidoreductase activity, acting on the C..."	8	2	0.91	"0.0143"
"9"	"GO:0008905"	"mannose-phosphate guanylyltransferase ac..."	7	0	0.79	"0.0153"
"10"	"GO:0004448"	"isocitrate dehydrogenase activity"	6	2	0.68	"0.0232"
"11"	"GO:0003746"	"translation elongation factor activity"	7	4	0.79	"0.0262"
"12"	"GO:0016763"	"transferase activity, transferring pento..."	9	2	1.02	"0.0287"
"13"	"GO:0016209"	"antioxidant activity"	14	2	1.59	"0.0460"
"14"	"GO:0043338"	"CTP:2,3-di-O-geranylgeranyl-sn-glycero-1..."	5	0	0.57	"0.0506"
"15"	"GO:0003896"	"DNA primase activity"	5	0	0.57	"0.0506"
"16"	"GO:0033677"	"DNA/RNA helicase activity"	5	0	0.57	"0.0506"
"17"	"GO:0043814"	"phospholactate guanylyltransferase activ..."	5	0	0.57	"0.0506"
"18"	"GO:0008193"	"tRNA guanylyltransferase activity"	5	0	0.57	"0.0506"
"19"	"GO:0003720"	"telomerase activity"	5	0	0.57	"0.0506"
"20"	"GO:0003964"	"RNA-directed DNA polymerase activity"	5	0	0.57	"0.0506"
"21"	"GO:0003743"	"translation initiation factor activity"	16	5	1.81	"0.0508"
"22"	"GO:0008318"	"protein prenyltransferase activity"	6	1	0.68	"0.0645"
