"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0005198"	"structural molecule activity"	143	29	8.44	"2.0e-08"
"2"	"GO:0003735"	"structural constituent of ribosome"	115	26	6.79	"4.4e-07"
"3"	"GO:0005525"	"GTP binding"	65	7	3.84	"0.0004"
"4"	"GO:0019001"	"guanyl nucleotide binding"	65	7	3.84	"0.0004"
"5"	"GO:0032561"	"guanyl ribonucleotide binding"	65	7	3.84	"0.0004"
"6"	"GO:0003924"	"GTPase activity"	33	5	1.95	"0.0056"
"7"	"GO:0016645"	"oxidoreductase activity, acting on the C..."	10	1	0.59	"0.0099"
"8"	"GO:0008135"	"translation factor activity, nucleic aci..."	50	8	2.95	"0.0105"
"9"	"GO:0008905"	"mannose-phosphate guanylyltransferase ac..."	7	0	0.41	"0.0113"
"10"	"GO:0046912"	"transferase activity, transferring acyl ..."	6	1	0.35	"0.0157"
"11"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	2	0.41	"0.0183"
"12"	"GO:0050136"	"NADH dehydrogenase (quinone) activity"	7	2	0.41	"0.0183"
"13"	"GO:0003723"	"RNA binding"	191	19	11.27	"0.0245"
"14"	"GO:0016646"	"oxidoreductase activity, acting on the C..."	8	1	0.47	"0.0250"
"15"	"GO:0016209"	"antioxidant activity"	14	1	0.83	"0.0299"
"16"	"GO:0003746"	"translation elongation factor activity"	7	2	0.41	"0.0299"
"17"	"GO:0036094"	"small molecule binding"	778	51	45.92	"0.0322"
"18"	"GO:0003743"	"translation initiation factor activity"	16	4	0.94	"0.0369"
"19"	"GO:0004448"	"isocitrate dehydrogenase activity"	6	1	0.35	"0.0394"
"20"	"GO:0003720"	"telomerase activity"	5	0	0.3	"0.0408"
"21"	"GO:0003896"	"DNA primase activity"	5	0	0.3	"0.0408"
"22"	"GO:0003964"	"RNA-directed DNA polymerase activity"	5	0	0.3	"0.0408"
"23"	"GO:0008193"	"tRNA guanylyltransferase activity"	5	0	0.3	"0.0408"
"24"	"GO:0033677"	"DNA/RNA helicase activity"	5	0	0.3	"0.0408"
"25"	"GO:0043338"	"CTP:2,3-di-O-geranylgeranyl-sn-glycero-1..."	5	0	0.3	"0.0408"
"26"	"GO:0043814"	"phospholactate guanylyltransferase activ..."	5	0	0.3	"0.0408"
"27"	"GO:0016763"	"transferase activity, transferring pento..."	9	2	0.53	"0.0443"
"28"	"GO:0000166"	"nucleotide binding"	742	47	43.79	"0.0472"
"29"	"GO:0003954"	"NADH dehydrogenase activity"	8	2	0.47	"0.0537"
"30"	"GO:0008318"	"protein prenyltransferase activity"	6	1	0.35	"0.0640"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	26	6.79	"4.4e-07"
"2"	"GO:0005525"	"GTP binding"	65	7	3.84	"0.0004"
"3"	"GO:0003924"	"GTPase activity"	33	5	1.95	"0.0056"
"4"	"GO:0016645"	"oxidoreductase activity, acting on the C..."	10	1	0.59	"0.0099"
"5"	"GO:0008135"	"translation factor activity, nucleic aci..."	50	8	2.95	"0.0105"
