"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0006412"	"translation"	229	38	13.43	"3e-06"
"2"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	361	43	21.18	"0.00011"
"3"	"GO:0006091"	"generation of precursor metabolites and ..."	94	12	5.51	"0.00015"
"4"	"GO:0009059"	"macromolecule biosynthetic process"	365	43	21.41	"0.00016"
"5"	"GO:0009987"	"cellular process"	1684	119	98.78	"0.00017"
"6"	"GO:0044267"	"cellular protein metabolic process"	548	55	32.14	"0.00074"
"7"	"GO:0044249"	"cellular biosynthetic process"	531	54	31.15	"0.00084"
"8"	"GO:0010467"	"gene expression"	386	45	22.64	"0.00115"
"9"	"GO:0044237"	"cellular metabolic process"	1377	108	80.77	"0.00119"
"10"	"GO:0006414"	"translational elongation"	10	3	0.59	"0.00227"
"11"	"GO:0009058"	"biosynthetic process"	739	66	43.35	"0.00565"
"12"	"GO:0044260"	"cellular macromolecule metabolic process"	848	76	49.74	"0.01369"
"13"	"GO:0006996"	"organelle organization"	169	19	9.91	"0.01629"
"14"	"GO:0015031"	"protein transport"	137	10	8.04	"0.01753"
"15"	"GO:0045184"	"establishment of protein localization"	137	10	8.04	"0.01753"
"16"	"GO:0008610"	"lipid biosynthetic process"	33	3	1.94	"0.02019"
"17"	"GO:0006413"	"translational initiation"	15	5	0.88	"0.02029"
"18"	"GO:0006119"	"oxidative phosphorylation"	5	2	0.29	"0.02061"
"19"	"GO:0022900"	"electron transport chain"	5	2	0.29	"0.02061"
"20"	"GO:0022904"	"respiratory electron transport chain"	5	2	0.29	"0.02061"
"21"	"GO:0042773"	"ATP synthesis coupled electron transport"	5	2	0.29	"0.02061"
"22"	"GO:0006399"	"tRNA metabolic process"	58	4	3.4	"0.02144"
"23"	"GO:0007010"	"cytoskeleton organization"	39	2	2.29	"0.02209"
"24"	"GO:0016043"	"cellular component organization"	261	25	15.31	"0.02404"
"25"	"GO:0071842"	"cellular component organization at cellu..."	190	20	11.15	"0.02452"
"26"	"GO:0019538"	"protein metabolic process"	687	58	40.3	"0.02463"
"27"	"GO:0009057"	"macromolecule catabolic process"	46	1	2.7	"0.02769"
"28"	"GO:0008104"	"protein localization"	139	10	8.15	"0.03074"
"29"	"GO:0033036"	"macromolecule localization"	146	10	8.56	"0.03177"
"30"	"GO:0030163"	"protein catabolic process"	44	1	2.58	"0.03359"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0006412"	"translation"	229	38	13.43	"1.2e-05"
"2"	"GO:0006091"	"generation of precursor metabolites and ..."	94	12	5.51	"0.00015"
"3"	"GO:0006414"	"translational elongation"	10	3	0.59	"0.00227"
"4"	"GO:0006996"	"organelle organization"	169	19	9.91	"0.01629"
"5"	"GO:0045184"	"establishment of protein localization"	137	10	8.04	"0.01753"
