"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0005737"	"cytoplasm"	804	195	141.07	"8.2e-13"
"2"	"GO:0044444"	"cytoplasmic part"	566	151	99.31	"2.8e-10"
"3"	"GO:0005840"	"ribosome"	182	70	31.93	"1.7e-09"
"4"	"GO:0030529"	"ribonucleoprotein complex"	215	78	37.72	"3.8e-09"
"5"	"GO:0043228"	"non-membrane-bounded organelle"	396	119	69.48	"5.3e-09"
"6"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	119	69.48	"5.3e-09"
"7"	"GO:0044424"	"intracellular part"	1297	260	227.57	"4.0e-07"
"8"	"GO:0032991"	"macromolecular complex"	719	176	126.15	"2.9e-06"
"9"	"GO:0043229"	"intracellular organelle"	1038	221	182.13	"3.4e-05"
"10"	"GO:0043226"	"organelle"	1052	222	184.58	"0.00011"
"11"	"GO:0005622"	"intracellular"	1513	283	265.47	"0.00078"
"12"	"GO:0044464"	"cell part"	1523	284	267.22	"0.00114"
"13"	"GO:0005739"	"mitochondrion"	166	44	29.13	"0.00399"
"14"	"GO:0005815"	"microtubule organizing center"	9	3	1.58	"0.01030"
"15"	"GO:0005829"	"cytosol"	50	15	8.77	"0.01113"
"16"	"GO:0016591"	"DNA-directed RNA polymerase II, holoenzy..."	9	3	1.58	"0.01812"
"17"	"GO:0005623"	"cell"	1768	314	310.21	"0.03815"
"18"	"GO:0015935"	"small ribosomal subunit"	8	3	1.4	"0.04478"
"19"	"GO:0000785"	"chromatin"	14	6	2.46	"0.05530"
"20"	"GO:0005730"	"nucleolus"	66	18	11.58	"0.05800"
"21"	"GO:0005856"	"cytoskeleton"	68	19	11.93	"0.05868"
"22"	"GO:0031966"	"mitochondrial membrane"	24	7	4.21	"0.06166"
"23"	"GO:0044445"	"cytosolic part"	12	2	2.11	"0.06213"
"24"	"GO:0005773"	"vacuole"	17	2	2.98	"0.06566"
"25"	"GO:0044429"	"mitochondrial part"	39	9	6.84	"0.06919"
"26"	"GO:0000786"	"nucleosome"	11	5	1.93	"0.07036"
"27"	"GO:0005740"	"mitochondrial envelope"	31	8	5.44	"0.07611"
"28"	"GO:0005798"	"Golgi-associated vesicle"	6	1	1.05	"0.07856"
"29"	"GO:0005743"	"mitochondrial inner membrane"	20	5	3.51	"0.08281"
"30"	"GO:0019866"	"organelle inner membrane"	20	5	3.51	"0.08281"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0005840"	"ribosome"	182	70	31.93	"1.7e-09"
"2"	"GO:0005737"	"cytoplasm"	804	195	141.07	"2.5e-05"
"3"	"GO:0005739"	"mitochondrion"	166	44	29.13	"0.004"
"4"	"GO:0005815"	"microtubule organizing center"	9	3	1.58	"0.010"
"5"	"GO:0005829"	"cytosol"	50	15	8.77	"0.011"
"6"	"GO:0043228"	"non-membrane-bounded organelle"	396	119	69.48	"0.015"
"7"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	119	69.48	"0.015"
"8"	"GO:0016591"	"DNA-directed RNA polymerase II, holoenzy..."	9	3	1.58	"0.018"
"9"	"GO:0032991"	"macromolecular complex"	719	176	126.15	"0.020"
"10"	"GO:0044444"	"cytoplasmic part"	566	151	99.31	"0.025"
"11"	"GO:0015935"	"small ribosomal subunit"	8	3	1.4	"0.045"
"12"	"GO:0000785"	"chromatin"	14	6	2.46	"0.055"
"13"	"GO:0005730"	"nucleolus"	66	18	11.58	"0.058"
"14"	"GO:0005856"	"cytoskeleton"	68	19	11.93	"0.059"
"15"	"GO:0031966"	"mitochondrial membrane"	24	7	4.21	"0.062"
"16"	"GO:0044445"	"cytosolic part"	12	2	2.11	"0.062"
"17"	"GO:0005773"	"vacuole"	17	2	2.98	"0.066"
"18"	"GO:0044429"	"mitochondrial part"	39	9	6.84	"0.069"
"19"	"GO:0000786"	"nucleosome"	11	5	1.93	"0.070"
"20"	"GO:0005740"	"mitochondrial envelope"	31	8	5.44	"0.076"
"21"	"GO:0005798"	"Golgi-associated vesicle"	6	1	1.05	"0.079"
"22"	"GO:0043229"	"intracellular organelle"	1038	221	182.13	"0.082"
"23"	"GO:0019866"	"organelle inner membrane"	20	5	3.51	"0.083"
