"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0005737"	"cytoplasm"	804	77	53.12	"1.3e-09"
"2"	"GO:0005840"	"ribosome"	182	34	12.03	"8.6e-08"
"3"	"GO:0044444"	"cytoplasmic part"	566	64	37.4	"1.6e-07"
"4"	"GO:0043228"	"non-membrane-bounded organelle"	396	56	26.17	"3.3e-07"
"5"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	396	56	26.17	"3.3e-07"
"6"	"GO:0030529"	"ribonucleoprotein complex"	215	38	14.21	"4.1e-07"
"7"	"GO:0044424"	"intracellular part"	1297	102	85.7	"1.6e-06"
"8"	"GO:0043229"	"intracellular organelle"	1038	92	68.59	"1.6e-05"
"9"	"GO:0043226"	"organelle"	1052	92	69.51	"6.4e-05"
"10"	"GO:0032991"	"macromolecular complex"	719	72	47.51	"0.00014"
"11"	"GO:0044464"	"cell part"	1523	111	100.63	"0.00020"
"12"	"GO:0005622"	"intracellular"	1513	111	99.97	"0.00027"
"13"	"GO:0005815"	"microtubule organizing center"	9	2	0.59	"0.01559"
"14"	"GO:0016591"	"DNA-directed RNA polymerase II, holoenzy..."	9	2	0.59	"0.02246"
"15"	"GO:0005829"	"cytosol"	50	3	3.3	"0.02422"
"16"	"GO:0005623"	"cell"	1768	119	116.82	"0.03621"
"17"	"GO:0005773"	"vacuole"	17	2	1.12	"0.04463"
"18"	"GO:0005856"	"cytoskeleton"	68	8	4.49	"0.04475"
"19"	"GO:0005739"	"mitochondrion"	166	18	10.97	"0.04878"
"20"	"GO:0009536"	"plastid"	6	1	0.4	"0.06036"
"21"	"GO:0005798"	"Golgi-associated vesicle"	6	0	0.4	"0.06187"
"22"	"GO:0015630"	"microtubule cytoskeleton"	25	3	1.65	"0.07265"
"23"	"GO:0000139"	"Golgi membrane"	8	0	0.53	"0.07956"
"24"	"GO:0000785"	"chromatin"	14	5	0.93	"0.07970"
"25"	"GO:0031967"	"organelle envelope"	53	5	3.5	"0.09730"
"26"	"GO:0031975"	"envelope"	53	5	3.5	"0.09730"
"27"	"GO:0031966"	"mitochondrial membrane"	24	4	1.59	"0.09862"
