"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.classic"
"1"	"GO:0005198"	"structural molecule activity"	143	25	7.87	"8.6e-09"
"2"	"GO:0003735"	"structural constituent of ribosome"	115	22	6.33	"3.3e-08"
"3"	"GO:0036094"	"small molecule binding"	778	44	42.8	"0.0012"
"4"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	3	0.39	"0.0013"
"5"	"GO:0050136"	"NADH dehydrogenase (quinone) activity"	7	3	0.39	"0.0013"
"6"	"GO:0000166"	"nucleotide binding"	742	41	40.82	"0.0018"
"7"	"GO:0003954"	"NADH dehydrogenase activity"	8	3	0.44	"0.0044"
"8"	"GO:0035639"	"purine ribonucleoside triphosphate bindi..."	449	26	24.7	"0.0068"
"9"	"GO:0016655"	"oxidoreductase activity, acting on NADH ..."	10	3	0.55	"0.0079"
"10"	"GO:0032553"	"ribonucleotide binding"	450	26	24.76	"0.0080"
"11"	"GO:0032555"	"purine ribonucleotide binding"	450	26	24.76	"0.0080"
"12"	"GO:0017076"	"purine nucleotide binding"	451	26	24.81	"0.0094"
"13"	"GO:0016651"	"oxidoreductase activity, acting on NADH ..."	24	4	1.32	"0.0131"
"14"	"GO:0003924"	"GTPase activity"	33	3	1.82	"0.0224"
"15"	"GO:0003743"	"translation initiation factor activity"	16	5	0.88	"0.0263"
"16"	"GO:0008374"	"O-acyltransferase activity"	14	1	0.77	"0.0277"
"17"	"GO:0003993"	"acid phosphatase activity"	8	0	0.44	"0.0297"
"18"	"GO:0005525"	"GTP binding"	65	5	3.58	"0.0351"
"19"	"GO:0019001"	"guanyl nucleotide binding"	65	5	3.58	"0.0351"
"20"	"GO:0032561"	"guanyl ribonucleotide binding"	65	5	3.58	"0.0351"
"21"	"GO:0005524"	"ATP binding"	386	22	21.24	"0.0363"
"22"	"GO:0032559"	"adenyl ribonucleotide binding"	387	22	21.29	"0.0416"
"23"	"GO:0022890"	"inorganic cation transmembrane transport..."	56	7	3.08	"0.0437"
"24"	"GO:0004815"	"aspartate-tRNA ligase activity"	5	0	0.28	"0.0475"
"25"	"GO:0030554"	"adenyl nucleotide binding"	388	22	21.35	"0.0477"
"26"	"GO:0016627"	"oxidoreductase activity, acting on the C..."	32	1	1.76	"0.0544"
"27"	"GO:0016746"	"transferase activity, transferring acyl ..."	60	4	3.3	"0.0567"
"28"	"GO:0016866"	"intramolecular transferase activity"	13	2	0.72	"0.0572"
"29"	"GO:0003746"	"translation elongation factor activity"	7	2	0.39	"0.0580"
"30"	"GO:0004402"	"histone acetyltransferase activity"	11	1	0.61	"0.0586"
"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"ks.elim"
"1"	"GO:0003735"	"structural constituent of ribosome"	115	22	6.33	"3.3e-08"
"2"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	7	3	0.39	"0.0013"
